update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,347593,0,946,0,35,0,96,0,23,0,3,0,4,0,0,0,0,0
2000,349924,0,1081,0,32,0,97,0,45,0,13,0,12,0,0,0,0,0
3000,350330,0,1268,0,39,0,124,0,50,0,22,0,7,0,0,0,0,0
4000,350301,0,1234,0,40,0,130,0,62,0,19,0,20,0,0,0,0,0
5000,350826,0,1007,0,52,0,130,0,73,0,22,0,22,0,0,0,0,0
6000,345841,0,1116,0,40,0,125,0,81,0,33,0,30,0,0,0,0,0
7000,340693,0,1276,0,49,0,152,0,78,0,39,0,29,0,0,0,0,0
8000,334553,0,1544,0,58,0,151,0,98,0,32,0,36,0,0,0,0,0
9000,336110,0,1568,0,70,0,175,0,99,0,45,0,38,0,0,0,0,0
10000,335608,0,1646,0,66,0,201,0,107,0,59,0,49,0,1,0,0,0
11000,337921,0,2023,0,72,0,255,0,111,0,50,0,61,0,0,0,0,0
12000,336607,0,1892,0,78,0,165,0,145,0,52,0,40,0,0,0,0,0
13000,334390,0,2036,0,76,0,203,0,162,0,44,0,53,0,0,0,0,0
14000,333210,0,2316,0,90,0,196,0,121,0,64,0,87,0,0,0,0,0
15000,332136,0,2304,0,113,0,206,0,142,0,69,0,55,0,0,0,0,0
16000,329609,0,2631,0,74,0,226,0,147,0,73,0,73,0,2,0,0,0
17000,327278,0,2874,0,99,0,250,0,159,0,56,0,59,0,0,0,0,0
18000,325266,0,3340,0,82,0,265,0,157,0,89,0,88,0,0,0,0,0
19000,325064,0,3644,0,115,0,222,0,164,0,80,0,70,0,1,0,0,0
20000,321508,0,3628,0,130,0,224,0,183,0,92,0,87,0,1,0,0,0
21000,317735,0,3484,0,123,0,249,0,164,0,82,0,79,0,0,0,0,0
22000,315728,0,3733,0,120,0,317,0,155,0,73,0,72,0,0,0,0,0
23000,312968,0,3693,0,117,0,279,0,202,0,117,0,82,0,2,0,0,0
24000,311075,0,4068,0,136,0,295,0,197,0,119,0,73,0,1,0,1,0
25000,311021,0,4821,0,155,0,290,0,189,0,108,0,102,0,0,0,0,0
26000,306773,0,4522,0,143,0,264,0,208,0,94,0,99,0,0,0,0,0
27000,303713,0,4447,0,176,0,285,0,222,0,116,0,110,0,2,0,0,0
28000,299390,0,4748,0,155,0,290,0,264,0,114,0,112,0,0,0,0,0
29000,292866,0,4365,0,130,0,325,0,211,0,115,0,94,0,2,0,0,0
30000,293804,0,4480,0,170,0,292,0,217,0,122,0,102,0,2,0,0,0
31000,294683,0,4658,0,173,0,272,0,230,0,117,0,112,0,1,0,0,0
32000,298694,0,4317,0,146,0,322,0,275,0,114,0,110,0,1,0,0,0
33000,298300,0,4843,0,159,0,328,0,279,0,146,0,129,0,0,0,0,0
34000,298255,0,4773,0,187,0,332,0,293,0,134,0,109,0,0,0,0,0
35000,295237,0,4647,0,189,0,313,0,291,0,153,0,128,0,2,0,0,0
36000,291298,0,5031,0,216,0,343,0,305,0,133,0,118,0,1,0,0,0
37000,291991,0,5823,0,201,0,338,0,313,0,161,0,144,0,1,0,1,0
38000,289668,0,6661,0,222,0,377,0,275,0,158,0,127,0,2,0,0,0
39000,287883,0,6295,0,208,0,348,0,322,0,171,0,145,0,4,0,0,0
40000,290236,0,5785,0,239,0,466,0,353,0,151,0,139,0,1,0,0,0
41000,290513,0,6024,0,237,0,521,0,361,0,168,0,131,0,1,0,0,0
42000,293206,0,6480,0,246,0,627,0,333,0,163,0,138,0,2,0,0,0
43000,292419,0,6276,0,213,0,742,0,371,0,182,0,130,0,3,0,0,0
44000,295285,0,6567,0,206,0,748,0,368,0,170,0,144,0,1,0,0,0
45000,291170,0,6880,0,237,0,1046,0,353,0,199,0,148,0,3,0,0,0
46000,290058,0,6422,0,247,0,1218,0,359,0,152,0,150,0,1,0,0,0
47000,289100,0,6658,0,268,0,1252,0,365,0,192,0,126,0,3,0,1,0
48000,282846,0,6718,0,275,0,1121,0,400,0,203,0,136,0,1,0,0,0
49000,281667,0,6939,0,257,0,1123,0,392,0,205,0,154,0,2,0,0,0
50000,279719,0,6312,0,271,0,1102,0,398,0,200,0,147,0,1,0,0,0
