update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,102040,0,271,0,12,0,30,0,16,0,2,0,4,0,0,0,0,0
2000,100293,0,249,0,12,0,25,0,15,0,4,0,3,0,0,0,0,0
3000,100014,0,239,0,8,0,30,0,12,0,3,0,7,0,0,0,0,0
4000,99748,0,250,0,9,0,28,0,17,0,6,0,6,0,0,0,0,0
5000,99355,0,241,0,14,0,29,0,20,0,6,0,10,0,0,0,0,0
6000,99646,0,243,0,8,0,31,0,10,0,4,0,7,0,0,0,0,0
7000,99693,0,233,0,11,0,29,0,17,0,4,0,1,0,0,0,0,0
8000,99390,0,204,0,13,0,17,0,22,0,3,0,11,0,0,0,0,0
9000,99492,0,193,0,7,0,29,0,20,0,5,0,5,0,0,0,0,0
10000,99339,0,194,0,10,0,31,0,19,0,3,0,9,0,0,0,0,0
11000,99408,0,210,0,16,0,32,0,19,0,3,0,6,0,0,0,0,0
12000,99226,0,227,0,10,0,41,0,21,0,5,0,6,0,0,0,0,0
13000,99268,0,209,0,16,0,24,0,16,0,16,0,7,0,0,0,0,0
14000,99036,0,214,0,13,0,23,0,21,0,14,0,11,0,0,0,0,0
15000,98896,0,187,0,11,0,37,0,20,0,18,0,12,0,0,0,0,0
16000,99027,0,202,0,9,0,37,0,21,0,13,0,10,0,0,0,0,0
17000,98900,0,192,0,18,0,28,0,18,0,11,0,14,0,0,0,0,0
18000,98983,0,176,0,19,0,29,0,23,0,13,0,9,0,0,0,0,0
19000,98994,0,159,0,14,0,24,0,27,0,16,0,8,0,0,0,0,0
20000,99056,0,172,0,5,0,35,0,18,0,12,0,11,0,0,0,0,0
21000,99026,0,160,0,9,0,35,0,31,0,19,0,4,0,0,0,0,0
22000,98914,0,155,0,11,0,37,0,31,0,12,0,7,0,0,0,0,0
23000,98578,0,133,0,15,0,57,0,31,0,17,0,12,0,0,0,0,0
24000,98916,0,155,0,21,0,46,0,17,0,12,0,12,0,0,0,0,0
25000,98874,0,140,0,13,0,40,0,32,0,15,0,8,0,0,0,0,0
26000,98658,0,88,0,7,0,37,0,41,0,19,0,13,0,0,0,0,0
27000,99085,0,80,0,16,0,44,0,22,0,8,0,9,0,0,0,0,0
28000,98970,0,68,0,13,0,42,0,28,0,4,0,12,0,0,0,0,0
29000,98818,0,60,0,12,0,38,0,38,0,12,0,9,0,0,0,0,0
30000,98733,0,74,0,14,0,40,0,30,0,17,0,12,0,0,0,0,0
31000,98688,0,57,0,12,0,53,0,37,0,12,0,10,0,0,0,0,0
32000,98771,0,53,0,12,0,35,0,33,0,14,0,12,0,0,0,0,0
33000,98267,0,157,0,21,0,55,0,31,0,21,0,15,0,0,0,0,0
34000,98493,0,179,0,18,0,38,0,31,0,12,0,14,0,0,0,0,0
35000,98427,0,215,0,16,0,49,0,33,0,19,0,9,0,0,0,0,0
36000,98499,0,173,0,13,0,52,0,33,0,16,0,11,0,0,0,0,0
37000,98162,0,160,0,28,0,55,0,36,0,20,0,13,0,0,0,0,0
38000,98449,0,176,0,31,0,53,0,24,0,16,0,12,0,0,0,0,0
39000,98194,0,176,0,17,0,53,0,22,0,15,0,23,0,0,0,0,0
40000,98331,0,178,0,15,0,43,0,19,0,21,0,22,0,0,0,0,0
41000,98406,0,185,0,17,0,39,0,36,0,15,0,14,0,0,0,0,0
42000,98445,0,180,0,23,0,42,0,37,0,18,0,10,0,0,0,0,0
43000,98051,0,297,0,18,0,48,0,36,0,20,0,18,0,0,0,0,0
44000,97622,0,460,0,15,0,73,0,44,0,16,0,17,0,0,0,0,0
45000,98076,0,431,0,25,0,53,0,30,0,13,0,16,0,0,0,0,0
46000,98006,0,417,0,19,0,48,0,32,0,14,0,21,0,0,0,0,0
47000,97879,0,395,0,24,0,54,0,40,0,20,0,13,0,0,0,0,0
48000,98168,0,405,0,14,0,42,0,31,0,16,0,17,0,0,0,0,0
49000,97874,0,416,0,20,0,58,0,40,0,11,0,17,0,0,0,0,0
50000,97569,0,447,0,20,0,60,0,37,0,27,0,20,0,0,0,0,0
