vres,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
10,12,45000,symbiont,8537095,1.26626e+06,4.44616e+06,791698,24814,1072,1612,1445,754,493,9,0
10,12,50000,host,0,0,0,1.23076e+06,19173,923,2782,1240,610,494,4,0
10,12,50000,symbiont,9514983,1.38256e+06,4.27716e+06,759709,22867,1011,1662,1515,756,465,8,0
10,12,55000,host,0,0,0,1.15725e+06,21689,1257,4036,1285,723,523,5,1
10,12,55000,symbiont,10365327,1.43919e+06,4.36015e+06,770169,21813,1144,1798,1677,877,481,8,0
10,12,60000,host,0,0,0,1.12494e+06,28361,1149,17910,1531,887,555,12,0
10,12,60000,symbiont,11568347,1.53245e+06,4.43488e+06,780211,22422,1232,1877,1754,805,566,13,0
10,12,65000,host,0,0,0,661512,36478,1608,374347,1472,599,869,18,1
10,12,65000,symbiont,9176911,785534,2.13475e+06,371468,10973,944,859,894,445,271,2,0
10,12,70000,host,0,0,0,190790,24285,352,278630,532,263,125,10,2
10,12,70000,symbiont,5051469,100324,246755,43686,924,76,87,95,63,29,0,0
10,12,75000,host,0,0,0,184847,27031,543,281286,690,303,169,15,4
10,12,75000,symbiont,2645630,56256,132120,23256,60,40,63,64,25,27,0,0
10,12,80000,host,0,0,0,201052,33791,2671,276532,696,334,159,8,4
10,12,80000,symbiont,1715653,41768,117980,20912,130,40,56,52,22,19,0,0
10,12,85000,host,0,0,0,214838,31136,965,277379,801,347,163,24,5
10,12,85000,symbiont,1044941,33955,81950,14665,45,23,41,44,11,9,0,0
10,12,90000,host,0,0,0,234363,37687,652,274568,928,395,231,23,4
10,12,90000,symbiont,620637,15575,52795,9523,143,21,29,14,12,3,0,0
10,12,95000,host,0,0,0,208260,31484,1829,278703,786,394,185,14,2
10,12,95000,symbiont,415903,9560,22750,4103,127,11,7,2,7,1,0,0
10,12,100000,host,0,0,0,184367,25891,1991,282509,831,366,161,14,6
10,12,100000,symbiont,203935,7805,12065,2258,3,1,2,4,0,2,0,0
10,12,105000,host,0,0,0,152335,24306,11115,277985,699,320,149,18,8
10,12,105000,symbiont,99347,7630,11810,2297,1,2,2,0,2,0,0,0
10,12,110000,host,0,0,0,184049,35978,12784,270367,789,383,171,17,15
10,12,110000,symbiont,71440,5570,11360,2123,1,0,0,4,4,1,0,0
10,12,115000,host,0,0,0,154710,27932,11077,272300,3201,362,179,14,8
10,12,115000,symbiont,91397,3930,9665,1767,6,3,3,6,1,0,0,0
10,12,120000,host,0,0,0,175762,37160,870,278191,3398,388,222,9,4
10,12,120000,symbiont,99276,2130,3285,617,0,1,0,0,2,0,0,0
10,12,125000,host,0,0,0,218489,43108,810,276629,983,437,239,21,13
10,12,125000,symbiont,22852,280,280,0,0,1,0,3,0,0,0,0
10,12,130000,host,0,0,0,202316,40391,641,278978,974,479,265,19,12
10,12,130000,symbiont,8747,40,40,0,0,0,1,0,0,0,0,0
10,12,135000,host,0,0,0,212136,44047,842,276389,1210,621,257,15,15
10,12,135000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,140000,host,0,0,0,196876,37590,822,279524,1155,620,217,18,10
10,12,140000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,145000,host,0,0,0,178167,34745,784,282176,1225,594,242,13,9
10,12,145000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,150000,host,0,0,0,146580,27638,935,247715,21146,500,181,20,7
10,12,150000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,155000,host,0,0,0,119064,20521,531,179991,57528,404,162,14,9
10,12,155000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,160000,host,0,0,0,134296,20654,1023,211444,40793,428,193,13,14
10,12,160000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,165000,host,0,0,0,118717,16916,6330,184688,52832,404,158,14,12
10,12,165000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,170000,host,0,0,0,99756,11174,432,154894,72643,363,161,7,3
10,12,170000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,175000,host,0,0,0,129212,16795,6790,173105,57790,419,174,15,14
10,12,175000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,180000,host,0,0,0,91698,13141,4154,156962,69914,362,156,6,4
10,12,180000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,185000,host,0,0,0,79191,8599,378,225976,38190,292,113,6,5
10,12,185000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,190000,host,0,0,0,92098,10867,487,275057,12647,288,150,12,12
10,12,190000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,195000,host,0,0,0,94226,17378,441,280612,9344,311,118,19,6
10,12,195000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,12,200000,host,0,0,0,112247,26374,658,286601,4203,345,165,20,5
10,12,200000,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,13,0,host,0,0,0,0,0,0,0,0,0,0,0,0
10,13,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,13,5000,host,0,0,0,2.3745e+06,1409,757,681,760,194,133,0,0
10,13,5000,symbiont,142868,31822,484120,74290,1109,418,483,442,169,140,0,0
10,13,10000,host,0,0,0,2.02742e+06,2084,523,605,526,240,180,0,0
10,13,10000,symbiont,1745647,276106,2.22415e+06,409217,6475,463,611,584,252,225,3,0
10,13,15000,host,0,0,0,1.70914e+06,3064,391,567,449,203,132,0,0
10,13,15000,symbiont,3962975,689099,3.8282e+06,725145,5296,536,841,729,319,240,0,0
10,13,20000,host,0,0,0,1.56951e+06,7102,383,802,506,230,192,0,0
10,13,20000,symbiont,4961397,892682,4.48251e+06,846367,8394,670,1049,827,364,285,1,0
10,13,25000,host,0,0,0,1.48928e+06,12620,485,868,658,310,214,1,0
10,13,25000,symbiont,5844786,1.04619e+06,4.78588e+06,896676,7059,815,1241,1105,469,370,3,0
10,13,30000,host,0,0,0,1.3824e+06,13092,473,938,691,360,270,2,0
10,13,30000,symbiont,6596321,1.0878e+06,4.72676e+06,874234,9269,925,1340,1269,620,420,2,0
10,13,35000,host,0,0,0,1.29001e+06,15441,554,941,890,412,301,2,0
10,13,35000,symbiont,6880077,1.18913e+06,4.74171e+06,868129,12565,935,1469,1435,643,468,6,0
10,13,40000,host,0,0,0,1.20283e+06,19533,578,1024,849,437,331,3,0
10,13,40000,symbiont,7762354,1.22938e+06,4.59941e+06,838587,13567,961,1559,1435,694,418,4,0
10,13,45000,host,0,0,0,1.1804e+06,21477,626,1151,902,535,409,6,0
10,13,45000,symbiont,8087063,1.27992e+06,4.40095e+06,791565,17289,973,2060,1396,750,391,5,1
10,13,50000,host,0,0,0,1.10873e+06,20673,730,1275,1114,625,407,5,0
10,13,50000,symbiont,8123113,1.30589e+06,4.19214e+06,752166,18079,992,1681,1397,692,412,6,0
10,13,55000,host,0,0,0,1.08815e+06,21722,1027,1428,1195,627,477,3,1
10,13,55000,symbiont,8559940,1.27383e+06,4.0325e+06,715213,20784,1151,1516,1500,735,411,8,0
10,13,60000,host,0,0,0,1.05068e+06,25733,1006,2478,1392,799,460,6,1
10,13,60000,symbiont,9096568,1.29662e+06,4.1138e+06,721159,22834,1254,1696,1655,817,482,6,0
10,13,65000,host,0,0,0,1.06288e+06,27427,1114,12261,1590,795,546,9,0
10,13,65000,symbiont,9731870,1.33332e+06,4.09735e+06,710318,26984,1204,1759,1720,824,549,6,0
10,13,70000,host,0,0,0,1.03571e+06,46424,1578,100186,2137,969,550,9,1
10,13,70000,symbiont,10099484,1.32056e+06,4.22274e+06,690590,24550,1302,7310,1833,909,510,10,0
10,13,75000,host,0,0,0,523413,44188,1331,185292,1716,749,321,20,4
10,13,75000,symbiont,16686825,1.8823e+06,1.5219e+07,404360,26525,1984,318625,1736,755,443,22,2
10,13,80000,host,0,0,0,97382,7392,282,36108,400,189,69,5,5
10,13,80000,symbiont,22587452,1.04486e+06,1.04707e+07,114520,11260,487,243961,717,404,206,10,5
10,13,85000,host,0,0,0,110666,11099,295,48367,399,253,77,6,5
10,13,85000,symbiont,24536169,1.07177e+06,9.89334e+06,120091,14621,531,227822,748,506,204,16,8
10,13,90000,host,0,0,0,116641,15802,345,57877,489,285,98,6,5
10,13,90000,symbiont,27227435,1.83603e+06,9.4422e+06,131014,18289,643,214064,963,516,251,13,10
10,13,95000,host,0,0,0,74987,13524,241,38969,358,212,57,4,10
10,13,95000,symbiont,31402463,3.18201e+06,1.04416e+07,97520,11774,486,245146,741,425,195,9,18
10,13,100000,host,0,0,0,56169,9511,243,22089,312,191,29,3,4
10,13,100000,symbiont,34758616,3.57775e+06,1.12386e+07,91664,11947,477,266281,642,436,181,11,7
10,13,105000,host,0,0,0,43718,8445,171,14953,253,198,28,4,1
10,13,105000,symbiont,36274301,3.61499e+06,1.1599e+07,87650,9543,398,276269,592,376,194,8,12
10,13,110000,host,0,0,0,39420,8172,160,14900,229,158,37,1,0
10,13,110000,symbiont,37509624,4.02049e+06,1.16316e+07,92853,7980,417,276575,618,383,197,5,15
10,13,115000,host,0,0,0,36930,7736,161,16473,243,133,41,0,0
10,13,115000,symbiont,38623045,3.76596e+06,1.15819e+07,98614,9351,433,274402,683,416,193,8,7
10,13,120000,host,0,0,0,33501,8761,122,14718,224,150,31,3,1
10,13,120000,symbiont,38808922,3.52315e+06,1.16673e+07,98463,9496,480,276116,704,438,246,8,12
10,13,125000,host,0,0,0,29669,8150,133,11501,216,146,23,7,0
10,13,125000,symbiont,38843767,3.40669e+06,1.18207e+07,95040,10252,498,280413,690,431,204,8,12
10,13,130000,host,0,0,0,29481,6447,125,11565,219,176,27,4,2
10,13,130000,symbiont,38713857,2.89361e+06,1.18219e+07,99053,10667,536,279725,734,485,216,16,17
10,13,135000,host,0,0,0,30243,5694,126,14351,201,174,38,4,1
10,13,135000,symbiont,38051639,2.82328e+06,1.17143e+07,97173,10188,473,277635,676,427,223,10,10
10,13,140000,host,0,0,0,28961,5701,100,12115,240,153,26,5,0
10,13,140000,symbiont,37427446,2.74638e+06,1.18087e+07,95906,11202,488,279906,705,453,218,17,13
10,13,145000,host,0,0,0,30368,6382,134,14754,263,167,39,3,4
10,13,145000,symbiont,37204344,2.87969e+06,1.16836e+07,103984,14904,565,274882,787,495,226,20,15
10,13,150000,host,0,0,0,30761,6941,172,16856,201,154,30,1,0
10,13,150000,symbiont,36733017,3.05882e+06,1.1602e+07,107135,15997,583,272244,832,480,238,14,11
10,13,155000,host,0,0,0,34091,6883,159,23437,296,175,29,1,1
10,13,155000,symbiont,35850413,3.05231e+06,1.13127e+07,106894,15672,665,265209,757,459,233,16,12
10,13,160000,host,0,0,0,39932,7983,207,28051,283,201,22,0,4
10,13,160000,symbiont,35537397,4.63145e+06,1.10942e+07,105217,16181,689,259737,788,502,192,12,9
10,13,165000,host,0,0,0,40108,6072,183,20580,282,175,34,2,0
10,13,165000,symbiont,36836834,5.16762e+06,1.14048e+07,99293,14659,538,268715,747,469,211,11,12
10,13,170000,host,0,0,0,34761,6156,168,15488,243,156,30,1,1
10,13,170000,symbiont,38242830,4.3021e+06,1.16347e+07,88481,12835,520,276258,744,463,223,13,11
10,13,175000,host,0,0,0,32313,6491,182,11457,249,136,26,2,1
10,13,175000,symbiont,38930349,4.54956e+06,1.18086e+07,92725,13595,522,279715,757,494,221,15,24
10,13,180000,host,0,0,0,27571,5425,144,10108,244,156,31,4,2
10,13,180000,symbiont,39111647,4.70326e+06,1.18909e+07,87842,15178,538,282509,676,417,231,14,15
10,13,185000,host,0,0,0,29457,4822,150,12671,289,166,31,4,2
10,13,185000,symbiont,39604643,5.4388e+06,1.17784e+07,94361,13539,488,279069,700,449,190,15,17
10,13,190000,host,0,0,0,28198,5875,194,13583,263,164,18,3,4
10,13,190000,symbiont,40524405,5.62126e+06,1.17425e+07,87831,12057,477,279498,664,427,197,10,13
10,13,195000,host,0,0,0,30214,7022,178,12394,316,166,46,10,0
10,13,195000,symbiont,40701584,4.72274e+06,1.17661e+07,99490,15886,587,277198,825,488,263,18,16
10,13,200000,host,0,0,0,27395,6728,146,8136,270,155,26,6,1
10,13,200000,symbiont,42021388,4.73902e+06,1.19605e+07,102921,17189,545,281599,798,544,233,15,13
10,14,0,host,0,0,0,0,0,0,0,0,0,0,0,0
10,14,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,14,5000,host,0,0,0,2.38469e+06,742,713,649,726,169,125,0,0
10,14,5000,symbiont,104209,23541,453200,67820,697,414,485,478,142,158,0,0
10,14,10000,host,0,0,0,1.97234e+06,1951,462,548,549,225,179,0,0
10,14,10000,symbiont,1664449,341110,2.50068e+06,467646,3980,477,601,562,247,220,0,0
10,14,15000,host,0,0,0,1.69405e+06,2939,406,597,441,209,164,0,0
10,14,15000,symbiont,3650342,727242,3.8989e+06,738520,6664,570,799,705,324,227,2,0
10,14,20000,host,0,0,0,1.61599e+06,5777,393,701,496,220,185,0,0
10,14,20000,symbiont,4592347,843059,4.26516e+06,796992,7532,633,1837,884,385,267,2,0
10,14,25000,host,0,0,0,1.56057e+06,10331,456,866,665,315,255,0,0
10,14,25000,symbiont,5383227,933498,4.4537e+06,824101,11725,800,1730,1058,447,327,6,0
10,14,30000,host,0,0,0,1.42148e+06,16894,509,1008,767,382,289,2,0
10,14,30000,symbiont,6354201,1.0662e+06,4.45426e+06,803483,17744,840,2807,1217,575,364,2,1
10,14,35000,host,0,0,0,1.3112e+06,19640,581,1300,852,428,313,3,0
10,14,35000,symbiont,7343939,1.23668e+06,4.57166e+06,811051,21144,974,3283,1372,667,471,8,2
10,14,40000,host,0,0,0,1.22263e+06,19357,616,1695,904,457,336,4,0
10,14,40000,symbiont,7798404,1.29737e+06,4.51628e+06,784486,20297,2506,3691,1537,677,409,2,5
10,14,45000,host,0,0,0,1.12826e+06,21042,645,1578,982,480,363,2,0
10,14,45000,symbiont,8383983,1.58167e+06,4.76822e+06,765832,24803,9564,3964,1631,797,491,7,0
10,14,50000,host,0,0,0,1.10436e+06,18051,769,1571,1106,521,380,3,0
10,14,50000,symbiont,9216777,1.55176e+06,4.60886e+06,739350,27205,9509,3071,1619,804,489,5,0
10,14,55000,host,0,0,0,1.10953e+06,21955,796,1742,1212,595,437,6,0
10,14,55000,symbiont,10172799,1.64992e+06,4.69404e+06,754708,27483,10009,2048,1724,930,545,6,1
10,14,60000,host,0,0,0,1.06425e+06,20382,966,1851,1269,679,452,2,1
10,14,60000,symbiont,10994213,1.52382e+06,4.50629e+06,736883,27855,7163,2184,1802,929,557,7,0
10,14,65000,host,0,0,0,1.0531e+06,20298,1096,2187,1435,750,512,3,0
10,14,65000,symbiont,11573607,1.30984e+06,4.25468e+06,724013,28588,1316,2614,1889,1040,613,13,0
10,14,70000,host,0,0,0,1.03378e+06,23605,1108,2845,1545,853,612,5,0
10,14,70000,symbiont,12222465,1.3446e+06,4.35476e+06,723163,35605,1391,3360,2151,1135,657,18,0
10,14,75000,host,0,0,0,1.00604e+06,30477,1372,2935,1702,996,664,3,3
10,14,75000,symbiont,13324083,1.43939e+06,4.46935e+06,727620,41378,1654,3709,2390,1279,711,12,2
10,14,80000,host,0,0,0,989215,30865,2191,3053,1747,1046,670,17,0
10,14,80000,symbiont,13984601,1.48167e+06,4.38616e+06,722807,37536,1666,2569,2383,1319,729,14,0
10,14,85000,host,0,0,0,959915,30277,2850,2812,2294,1105,645,23,2
10,14,85000,symbiont,14908211,1.56858e+06,4.39304e+06,728134,32481,1802,2269,2405,1350,770,18,2
10,14,90000,host,0,0,0,954791,32186,2276,2367,2764,1159,655,8,2
10,14,90000,symbiont,16235466,1.57316e+06,4.36188e+06,705850,32207,2073,3057,2496,1524,889,12,2
10,14,95000,host,0,0,0,949690,40582,2440,2208,2827,1207,665,23,2
10,14,95000,symbiont,17935430,1.58135e+06,4.5775e+06,731503,27493,2504,3205,3070,1777,1028,10,1
10,14,100000,host,0,0,0,949956,50060,3149,2370,3223,1247,715,22,4
10,14,100000,symbiont,19779419,1.68123e+06,4.74517e+06,747005,27709,2695,3643,3415,1985,1143,20,0
10,14,105000,host,0,0,0,932753,59243,3226,3486,3928,1374,736,19,2
10,14,105000,symbiont,21720723,1.79134e+06,4.9505e+06,767103,32172,2832,3979,3710,2243,1267,15,1
10,14,110000,host,0,0,0,917949,60336,2585,5031,3215,1468,819,20,3
10,14,110000,symbiont,23517023,1.88173e+06,4.9876e+06,752367,35793,2998,5308,3925,2475,1237,27,1
10,14,115000,host,0,0,0,913849,59870,2845,5374,2775,1466,883,24,0
10,14,115000,symbiont,25224960,1.98713e+06,5.17733e+06,758027,41151,3784,6720,4193,2531,1357,31,4
10,14,120000,host,0,0,0,896732,61116,3485,5313,3689,1604,815,19,2
10,14,120000,symbiont,27363541,1.97919e+06,5.36144e+06,770410,47279,4286,6347,4513,2933,1518,53,2
10,14,125000,host,0,0,0,866056,66980,3123,5135,4507,1739,815,31,1
10,14,125000,symbiont,29408920,1.97586e+06,5.543e+06,784781,55450,4652,5766,4912,3166,1662,75,3
10,14,130000,host,0,0,0,860300,70227,3408,4142,4130,1861,885,23,4
10,14,130000,symbiont,31971799,1.94306e+06,5.64413e+06,778882,60328,4903,6895,5216,3270,1778,72,4
10,14,135000,host,0,0,0,853863,75703,3867,4952,4156,1876,825,31,3
10,14,135000,symbiont,33838346,2.03056e+06,5.88778e+06,796122,61747,5094,8123,5629,3603,1986,76,4
10,14,140000,host,0,0,0,849094,88963,4908,5445,4139,1939,889,28,6
10,14,140000,symbiont,33857631,1.95593e+06,5.74701e+06,782588,58438,4585,7156,5723,3696,1932,60,0
10,14,145000,host,0,0,0,833163,100819,5116,5136,3736,2034,863,36,2
10,14,145000,symbiont,34923922,1.97315e+06,5.77488e+06,773725,62451,4689,7597,5871,3789,1968,91,1
10,14,150000,host,0,0,0,834757,110380,4292,5965,4001,2080,906,37,2
10,14,150000,symbiont,36025846,2.08535e+06,5.83304e+06,777161,66270,4748,7629,6125,3753,1992,74,0
10,14,155000,host,0,0,0,829963,118623,4723,7119,4072,2181,881,47,3
10,14,155000,symbiont,36518872,2.16784e+06,6.0068e+06,786856,70456,4752,8336,6812,4023,1970,90,1
10,14,160000,host,0,0,0,801385,122703,5519,9846,4078,2100,826,53,12
10,14,160000,symbiont,38358110,2.2146e+06,6.08652e+06,796363,71916,4851,9633,6207,4055,2049,98,4
10,14,165000,host,0,0,0,762607,119235,5626,11520,4047,2108,803,21,5
10,14,165000,symbiont,39957988,2.15326e+06,6.07844e+06,787848,77000,4827,10044,6092,4012,2064,124,3
10,14,170000,host,0,0,0,762102,115764,5684,14628,4185,2156,792,39,4
10,14,170000,symbiont,41751675,2.04776e+06,5.7847e+06,754449,74235,4739,7407,6082,3955,2114,85,2
10,14,175000,host,0,0,0,753972,111764,8406,20059,4086,2205,776,53,2
10,14,175000,symbiont,42109848,1.91791e+06,5.529e+06,719815,80400,4715,5969,5847,3840,1924,109,1
10,14,180000,host,0,0,0,767306,116409,7719,60231,4608,2236,815,39,4
10,14,180000,symbiont,42657886,1.9136e+06,5.58794e+06,716045,89072,5313,6312,5789,3846,1921,114,3
10,14,185000,host,0,0,0,945541,188143,7404,1.17243e+06,33027,2222,1105,100,15
10,14,185000,symbiont,23023455,975775,2.85363e+06,356449,49522,3169,3158,3049,1907,1023,66,0
10,14,190000,host,0,0,0,132897,19854,458,290395,638,375,219,19,2
10,14,190000,symbiont,3791127,38491,63940,8089,1995,30,56,52,44,14,2,0
10,14,195000,host,0,0,0,111934,14289,345,295242,498,299,158,4,6
10,14,195000,symbiont,2148898,26248,32675,3725,1506,12,23,31,21,4,2,0
10,14,200000,host,0,0,0,110942,20680,361,294705,614,328,195,12,4
10,14,200000,symbiont,1110956,6720,8200,524,602,6,3,7,11,3,2,0
10,15,0,host,0,0,0,0,0,0,0,0,0,0,0,0
10,15,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,15,5000,host,0,0,0,2.38048e+06,1318,703,615,705,171,117,0,0
10,15,5000,symbiont,117602,19792,473920,71549,471,429,508,485,151,161,1,0
10,15,10000,host,0,0,0,1.99664e+06,2367,472,587,536,238,159,0,0
10,15,10000,symbiont,1539750,321468,2.37768e+06,447538,2114,453,568,536,206,185,0,0
10,15,15000,host,0,0,0,1.69152e+06,5182,407,555,470,190,148,0,0
10,15,15000,symbiont,3678125,651829,3.90291e+06,743608,5077,501,753,636,313,213,0,0
10,15,20000,host,0,0,0,1.58933e+06,6392,360,650,512,249,183,0,0
10,15,20000,symbiont,4812261,865480,4.39334e+06,823967,9761,558,1873,782,334,243,3,0
10,15,25000,host,0,0,0,1.49115e+06,9143,434,1216,609,281,236,0,0
10,15,25000,symbiont,5717101,955292,4.82398e+06,891277,11740,688,2773,1030,446,330,2,0
10,15,30000,host,0,0,0,1.3989e+06,13752,563,1647,797,391,285,2,0
10,15,30000,symbiont,6410643,1.12767e+06,4.83974e+06,884244,12327,842,2724,1212,584,439,3,0
10,15,35000,host,0,0,0,1.31775e+06,17176,618,1069,903,432,342,6,0
10,15,35000,symbiont,6905341,1.21034e+06,4.91184e+06,898499,14741,960,2267,1217,594,441,5,1
10,15,40000,host,0,0,0,1.22905e+06,19040,619,1164,1001,503,390,2,0
10,15,40000,symbiont,7452216,1.27932e+06,4.9101e+06,891089,16547,1012,2424,1354,685,440,2,2
10,15,45000,host,0,0,0,1.15282e+06,23507,739,1285,1001,507,401,3,1
10,15,45000,symbiont,8076327,1.32063e+06,4.6812e+06,845203,16380,992,2374,1342,691,463,8,2
10,15,50000,host,0,0,0,1.09967e+06,22826,825,1341,1181,641,464,4,0
10,15,50000,symbiont,8773364,1.32688e+06,4.68164e+06,838510,17739,1014,2464,1426,792,505,13,3
10,15,55000,host,0,0,0,1.07127e+06,22502,872,1398,1259,652,461,7,1
10,15,55000,symbiont,9343039,1.3902e+06,4.62271e+06,825274,22204,1111,2002,1478,798,487,5,0
10,15,60000,host,0,0,0,1.06069e+06,25522,1013,1557,1407,746,491,3,0
10,15,60000,symbiont,9708274,1.42286e+06,4.55579e+06,799434,27772,1566,1952,1596,834,517,6,3
10,15,65000,host,0,0,0,1.02532e+06,32636,1046,1582,1419,707,467,4,0
10,15,65000,symbiont,10250033,1.47656e+06,4.52653e+06,792102,27196,1843,1810,1577,918,518,7,1
10,15,70000,host,0,0,0,1.00768e+06,37081,1092,1657,1545,838,507,15,0
10,15,70000,symbiont,11228754,1.50843e+06,4.47786e+06,770134,31805,2036,2034,1811,954,516,8,1
10,15,75000,host,0,0,0,1.01322e+06,47034,1334,1997,1906,897,571,23,0
10,15,75000,symbiont,11483522,1.5201e+06,4.41681e+06,758696,27306,2012,1998,1883,1029,573,11,0
10,15,80000,host,0,0,0,1.00048e+06,50660,1496,2334,2018,1040,633,20,0
10,15,80000,symbiont,12206321,1.51001e+06,4.4897e+06,770627,27025,1321,2911,1903,1035,601,6,0
10,15,85000,host,0,0,0,994306,50786,1609,2615,2204,1166,691,24,3
10,15,85000,symbiont,12597218,1.55444e+06,4.43869e+06,752237,29205,1455,3080,1962,1138,630,8,0
10,15,90000,host,0,0,0,961809,53868,1644,3350,2167,1208,663,24,0
10,15,90000,symbiont,13249419,1.59963e+06,4.5244e+06,752560,33992,1657,3362,2288,1258,650,8,6
10,15,95000,host,0,0,0,919352,54905,1882,2707,2466,1317,717,19,1
10,15,95000,symbiont,14085502,1.70086e+06,4.65746e+06,761975,41102,1870,3632,2411,1338,745,14,2
10,15,100000,host,0,0,0,906896,57109,1822,2584,2515,1366,702,20,0
10,15,100000,symbiont,14740759,1.76688e+06,4.67831e+06,747627,45171,2928,4170,2485,1435,712,16,1
10,15,105000,host,0,0,0,889435,60050,2197,3390,2862,1496,776,25,2
10,15,105000,symbiont,16048166,1.84958e+06,4.82182e+06,750316,49193,4256,4391,2662,1492,882,19,6
10,15,110000,host,0,0,0,891426,73031,2045,4052,2800,1517,679,22,1
10,15,110000,symbiont,16729890,1.97847e+06,4.86386e+06,741858,50666,6009,4270,2765,1569,854,28,7
10,15,115000,host,0,0,0,909120,82359,2091,4668,2901,1519,766,29,1
10,15,115000,symbiont,17931245,2.01842e+06,4.92036e+06,716508,54163,5902,6803,2856,2319,870,21,7
10,15,120000,host,0,0,0,907974,73661,2094,3230,2993,1671,740,27,1
10,15,120000,symbiont,18336510,1.92004e+06,4.76682e+06,687717,56334,5272,8128,2971,1627,837,37,9
10,15,125000,host,0,0,0,902925,75187,2565,3906,3032,1682,837,29,1
10,15,125000,symbiont,19246919,1.87568e+06,4.69974e+06,676183,67005,4878,6155,3147,1696,897,38,17
10,15,130000,host,0,0,0,882573,78260,2962,4643,3132,1690,747,18,0
10,15,130000,symbiont,20233271,1.93076e+06,4.85721e+06,665412,70342,6652,7937,3556,1914,908,39,18
10,15,135000,host,0,0,0,891539,81013,4091,5588,3341,1794,773,18,2
10,15,135000,symbiont,21853383,1.95112e+06,5.19106e+06,652437,75999,6737,16665,3682,1934,947,43,16
10,15,140000,host,0,0,0,888961,83001,4153,5776,3385,1842,763,28,3
10,15,140000,symbiont,23296740,2.15042e+06,5.81083e+06,628288,107534,20428,16923,3785,2080,939,62,26
10,15,145000,host,0,0,0,897668,86650,4202,7021,3615,2052,859,28,0
10,15,145000,symbiont,25644807,2.60094e+06,7.28003e+06,581826,160668,58722,13339,4099,2261,912,100,45
10,15,150000,host,0,0,0,925383,89942,4003,11026,3809,2086,933,33,1
10,15,150000,symbiont,28410089,2.86088e+06,7.87718e+06,538074,213418,70291,15118,4159,2303,876,181,54
10,15,155000,host,0,0,0,868938,86730,4187,12997,3829,3670,963,34,1
10,15,155000,symbiont,32845369,4.59499e+06,1.10477e+07,498009,300630,132898,24909,4386,2378,846,241,85
10,15,160000,host,0,0,0,781468,81939,4845,12514,4244,2026,811,32,3
10,15,160000,symbiont,37559123,6.76734e+06,2.12503e+07,423617,372677,373864,39514,4299,2408,714,310,104
10,15,165000,host,0,0,0,381230,44358,2841,7991,2747,1144,380,16,4
10,15,165000,symbiont,42312341,1.50819e+07,3.15492e+07,226085,274823,676274,39232,3027,1244,375,220,41
10,15,170000,host,0,0,0,67343,7452,774,2007,432,275,73,5,0
10,15,170000,symbiont,46635039,8.80129e+06,1.1948e+07,53250,81287,266634,14529,515,277,128,55,9
10,15,175000,host,0,0,0,48980,4628,267,1772,371,237,62,2,1
10,15,175000,symbiont,48831318,9.01378e+06,1.20928e+07,44330,73692,267696,18787,445,270,278,64,7
10,15,180000,host,0,0,0,36805,3357,222,597,340,227,61,0,0
10,15,180000,symbiont,51363203,8.49993e+06,1.22134e+07,46103,74671,264901,24283,437,221,280,51,15
10,15,185000,host,0,0,0,29761,2891,190,205,236,198,23,2,0
10,15,185000,symbiont,55307431,9.50565e+06,1.22834e+07,40884,73891,260972,31669,393,241,77,56,13
10,15,190000,host,0,0,0,31207,2523,231,247,423,239,20,3,0
10,15,190000,symbiont,57844731,9.30509e+06,1.22584e+07,54707,85748,264999,23463,492,265,77,65,8
10,15,195000,host,0,0,0,17300,1339,180,168,226,177,22,1,0
10,15,195000,symbiont,61058646,6.4867e+06,1.23576e+07,30952,65028,285480,11782,380,244,61,46,9
10,15,200000,host,0,0,0,12295,866,148,150,219,139,13,3,0
10,15,200000,symbiont,64392433,6.82097e+06,1.23921e+07,32278,63493,292598,5887,335,220,51,57,4
10,16,0,host,0,0,0,0,0,0,0,0,0,0,0,0
10,16,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
10,16,5000,host,0,0,0,2.38099e+06,977,690,650,662,193,126,0,0
10,16,5000,symbiont,127886,32165,468575,70401,932,467,479,462,166,151,0,0
