update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,52084,0,63,0,6,0,13,0,7,0,0,0,0,0,0,0,0,0
2000,49979,0,54,0,4,0,11,0,9,0,2,0,1,0,0,0,0,0
3000,49941,0,58,0,6,0,15,0,11,0,0,0,1,0,0,0,0,0
4000,49969,0,67,0,4,0,7,0,8,0,5,0,1,0,0,0,0,0
5000,49934,0,53,0,2,0,21,0,9,0,1,0,2,0,0,0,0,0
6000,49912,0,42,0,4,0,11,0,8,0,2,0,3,0,0,0,0,0
7000,49950,0,37,0,6,0,10,0,8,0,1,0,5,0,0,0,0,0
8000,50055,0,33,0,2,0,13,0,4,0,1,0,1,0,0,0,0,0
9000,49964,0,29,0,8,0,9,0,9,0,2,0,2,0,0,0,0,0
10000,49819,0,36,0,6,0,13,0,8,0,5,0,5,0,0,0,0,0
11000,49831,0,36,0,2,0,11,0,8,0,9,0,3,0,0,0,0,0
12000,49745,0,36,0,7,0,14,0,10,0,4,0,4,0,0,0,0,0
13000,49720,0,26,0,3,0,17,0,13,0,3,0,5,0,0,0,0,0
14000,49648,0,29,0,5,0,11,0,13,0,7,0,5,0,0,0,0,0
15000,49860,0,36,0,3,0,11,0,11,0,1,0,3,0,0,0,0,0
16000,49620,0,125,0,2,0,16,0,14,0,5,0,3,0,0,0,0,0
17000,49525,0,149,0,7,0,22,0,10,0,6,0,3,0,0,0,0,0
18000,49527,0,156,0,4,0,13,0,11,0,6,0,6,0,0,0,0,0
19000,49499,0,232,0,7,0,13,0,14,0,2,0,3,0,0,0,0,0
20000,49448,0,231,0,6,0,13,0,14,0,5,0,4,0,0,0,0,0
21000,49140,0,233,0,7,0,26,0,15,0,6,0,9,0,0,0,0,0
22000,49368,0,223,0,10,0,27,0,7,0,4,0,7,0,0,0,0,0
23000,49044,0,218,0,9,0,29,0,11,0,16,0,8,0,0,0,0,0
24000,49462,0,198,0,8,0,26,0,8,0,5,0,3,0,0,0,0,0
25000,49358,0,216,0,5,0,12,0,10,0,9,0,8,0,0,0,0,0
26000,49589,0,201,0,7,0,13,0,12,0,4,0,2,0,0,0,0,0
27000,49371,0,222,0,9,0,16,0,10,0,7,0,6,0,0,0,0,0
28000,49389,0,199,0,7,0,13,0,12,0,9,0,5,0,0,0,0,0
29000,49282,0,205,0,10,0,23,0,13,0,2,0,7,0,0,0,0,0
30000,49319,0,207,0,4,0,15,0,17,0,7,0,6,0,0,0,0,0
31000,49406,0,221,0,7,0,17,0,11,0,6,0,4,0,0,0,0,0
32000,49461,0,234,0,6,0,17,0,12,0,6,0,1,0,0,0,0,0
33000,49190,0,231,0,6,0,19,0,17,0,12,0,6,0,0,0,0,0
34000,49332,0,216,0,6,0,18,0,12,0,8,0,6,0,0,0,0,0
35000,49348,0,220,0,2,0,16,0,18,0,6,0,4,0,0,0,0,0
36000,49294,0,196,0,16,0,25,0,7,0,12,0,5,0,0,0,0,0
37000,49143,0,193,0,5,0,22,0,16,0,11,0,10,0,0,0,0,0
38000,49154,0,201,0,9,0,22,0,12,0,8,0,10,0,0,0,0,0
39000,49322,0,201,0,7,0,23,0,10,0,7,0,5,0,0,0,0,0
40000,49426,0,218,0,2,0,23,0,5,0,9,0,3,0,0,0,0,0
41000,49096,0,226,0,11,0,19,0,19,0,8,0,7,0,0,0,0,0
42000,48883,0,335,0,14,0,25,0,17,0,5,0,9,0,0,0,0,0
43000,49048,0,354,0,6,0,23,0,14,0,7,0,7,0,0,0,0,0
44000,48943,0,324,0,12,0,22,0,21,0,8,0,7,0,0,0,0,0
45000,49036,0,346,0,10,0,19,0,16,0,9,0,5,0,0,0,0,0
46000,49058,0,347,0,7,0,15,0,18,0,9,0,6,0,0,0,0,0
47000,48560,0,350,0,12,0,26,0,21,0,11,0,15,0,0,0,0,0
48000,48587,0,435,0,9,0,28,0,25,0,11,0,10,0,0,0,0,0
49000,48852,0,591,0,7,0,16,0,15,0,13,0,4,0,0,0,0,0
50000,48407,0,621,0,12,0,25,0,24,0,11,0,10,0,0,0,0,0
