update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,203421,0,454,0,17,0,48,0,23,0,0,0,4,0,0,0,0,0
2000,200776,0,582,0,16,0,49,0,20,0,7,0,6,0,0,0,0,0
3000,199959,0,717,0,20,0,52,0,24,0,5,0,8,0,0,0,0,0
4000,199237,0,821,0,19,0,61,0,26,0,10,0,10,0,0,0,0,0
5000,199049,0,575,0,16,0,55,0,38,0,11,0,11,0,0,0,0,0
6000,198785,0,496,0,17,0,73,0,35,0,11,0,14,0,0,0,0,0
7000,198085,0,508,0,25,0,67,0,52,0,12,0,16,0,0,0,0,0
8000,198143,0,459,0,23,0,58,0,35,0,20,0,22,0,0,0,0,0
9000,197902,0,466,0,24,0,74,0,44,0,15,0,20,0,0,0,0,0
10000,197714,0,516,0,33,0,72,0,53,0,22,0,16,0,0,0,0,0
11000,198180,0,482,0,23,0,67,0,37,0,15,0,14,0,0,0,0,0
12000,197578,0,484,0,27,0,79,0,54,0,21,0,15,0,0,0,0,0
13000,197233,0,588,0,39,0,70,0,48,0,24,0,26,0,0,0,0,0
14000,197149,0,773,0,30,0,82,0,56,0,18,0,19,0,0,0,0,0
15000,197018,0,825,0,33,0,84,0,62,0,25,0,14,0,0,0,0,0
16000,196475,0,893,0,32,0,94,0,71,0,26,0,22,0,0,0,0,0
17000,195814,0,1102,0,38,0,78,0,72,0,37,0,32,0,0,0,0,0
18000,195892,0,1707,0,28,0,79,0,67,0,29,0,18,0,0,0,0,0
19000,195667,0,1854,0,31,0,93,0,59,0,21,0,24,0,0,0,0,0
20000,195412,0,2058,0,31,0,81,0,55,0,41,0,21,0,0,0,0,0
21000,194286,0,2371,0,37,0,111,0,75,0,36,0,29,0,0,0,0,0
22000,194320,0,2471,0,31,0,104,0,61,0,36,0,32,0,0,0,0,0
23000,194401,0,2368,0,54,0,108,0,83,0,33,0,18,0,0,0,0,0
24000,194334,0,2389,0,48,0,116,0,79,0,31,0,22,0,0,0,0,0
25000,193978,0,2549,0,52,0,111,0,80,0,32,0,28,0,0,0,0,0
26000,193765,0,2773,0,64,0,114,0,67,0,33,0,27,0,1,0,0,0
27000,192839,0,2628,0,60,0,130,0,95,0,38,0,43,0,0,0,0,0
28000,193171,0,2790,0,73,0,126,0,71,0,38,0,34,0,1,0,0,0
29000,193201,0,2747,0,64,0,96,0,80,0,36,0,41,0,0,0,0,0
30000,193611,0,2514,0,57,0,97,0,93,0,44,0,27,0,0,0,0,0
31000,192917,0,2818,0,48,0,100,0,100,0,45,0,39,0,0,0,0,0
32000,192490,0,2672,0,53,0,111,0,100,0,55,0,46,0,0,0,0,0
33000,193235,0,2848,0,55,0,109,0,71,0,46,0,36,0,0,0,0,0
34000,192438,0,2971,0,56,0,117,0,104,0,49,0,35,0,1,0,0,0
35000,192278,0,3138,0,51,0,131,0,97,0,43,0,40,0,0,0,0,0
36000,192654,0,3150,0,49,0,108,0,112,0,37,0,29,0,1,0,0,0
37000,191887,0,3067,0,70,0,107,0,121,0,53,0,38,0,0,0,0,0
38000,192114,0,3123,0,70,0,128,0,85,0,42,0,46,0,0,0,0,0
39000,192153,0,3023,0,59,0,141,0,105,0,59,0,30,0,1,0,0,0
40000,191997,0,3074,0,54,0,118,0,98,0,63,0,41,0,0,0,0,0
41000,191743,0,3191,0,50,0,133,0,107,0,53,0,46,0,0,0,0,0
42000,191329,0,3238,0,64,0,135,0,112,0,57,0,49,0,0,0,0,0
43000,191616,0,3146,0,75,0,151,0,129,0,36,0,37,0,0,0,0,0
44000,190679,0,3190,0,61,0,157,0,119,0,62,0,59,0,0,0,0,0
45000,190455,0,3402,0,87,0,160,0,116,0,63,0,52,0,0,0,0,0
46000,190383,0,3268,0,78,0,136,0,128,0,71,0,56,0,0,0,0,0
47000,190509,0,3674,0,71,0,151,0,123,0,53,0,52,0,1,0,0,0
48000,190373,0,4064,0,84,0,157,0,117,0,59,0,38,0,0,0,0,0
49000,189420,0,3975,0,75,0,150,0,143,0,66,0,58,0,0,0,0,0
50000,190092,0,3948,0,85,0,137,0,120,0,72,0,43,0,3,0,0,0
