update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,347613,0,926,0,27,0,74,0,31,0,3,0,4,0,0,0,0,0
2000,346454,0,860,0,45,0,91,0,40,0,12,0,6,0,0,0,0,0
3000,344387,0,897,0,36,0,97,0,53,0,13,0,16,0,0,0,0,0
4000,341597,0,997,0,29,0,107,0,61,0,11,0,15,0,0,0,0,0
5000,342873,0,1039,0,40,0,131,0,59,0,24,0,24,0,1,0,0,0
6000,341439,0,1214,0,42,0,137,0,83,0,26,0,21,0,0,0,0,0
7000,338842,0,1449,0,57,0,149,0,76,0,28,0,44,0,0,0,0,0
8000,336689,0,1238,0,40,0,184,0,99,0,30,0,51,0,0,0,0,0
9000,337203,0,1315,0,42,0,172,0,72,0,37,0,39,0,0,0,0,0
10000,336989,0,1365,0,73,0,170,0,81,0,40,0,51,0,0,0,0,0
11000,334102,0,1414,0,58,0,176,0,108,0,49,0,47,0,0,0,0,0
12000,332373,0,1468,0,69,0,156,0,127,0,43,0,48,0,0,0,0,0
13000,329569,0,1469,0,75,0,190,0,123,0,58,0,59,0,0,0,0,0
14000,328185,0,1522,0,81,0,212,0,125,0,46,0,56,0,0,0,0,0
15000,326268,0,1583,0,83,0,212,0,144,0,76,0,52,0,0,0,0,0
16000,328053,0,1738,0,99,0,228,0,147,0,70,0,80,0,0,0,0,0
17000,329637,0,1979,0,104,0,231,0,173,0,79,0,73,0,0,0,0,0
18000,328722,0,2305,0,110,0,231,0,188,0,95,0,61,0,0,0,0,0
19000,329272,0,2268,0,118,0,258,0,178,0,81,0,86,0,1,0,0,0
20000,326604,0,2243,0,115,0,249,0,201,0,75,0,83,0,2,0,0,0
21000,323325,0,2129,0,142,0,210,0,168,0,88,0,71,0,0,0,0,0
22000,318603,0,2823,0,121,0,265,0,228,0,91,0,59,0,1,0,0,0
23000,314998,0,2651,0,93,0,250,0,195,0,99,0,69,0,0,0,0,0
24000,312323,0,2707,0,113,0,289,0,183,0,104,0,72,0,0,0,0,0
25000,311788,0,3150,0,123,0,254,0,209,0,94,0,92,0,0,0,0,0
26000,310592,0,3800,0,124,0,271,0,209,0,86,0,77,0,1,0,0,0
27000,309667,0,4299,0,136,0,275,0,237,0,98,0,77,0,1,0,0,0
28000,305835,0,4505,0,133,0,274,0,191,0,110,0,93,0,0,0,0,0
29000,301607,0,4382,0,134,0,311,0,240,0,105,0,93,0,0,0,0,0
30000,301660,0,4940,0,137,0,295,0,242,0,125,0,88,0,1,0,0,0
31000,300149,0,5125,0,150,0,284,0,244,0,93,0,91,0,1,0,0,0
32000,300023,0,5744,0,175,0,332,0,249,0,119,0,94,0,0,0,0,0
33000,302370,0,5665,0,167,0,368,0,273,0,140,0,93,0,0,0,0,0
34000,301312,0,5776,0,167,0,397,0,272,0,119,0,103,0,0,0,0,0
35000,298844,0,5845,0,165,0,420,0,292,0,155,0,115,0,0,0,0,0
36000,295994,0,5827,0,183,0,403,0,327,0,161,0,114,0,0,0,0,0
37000,295894,0,5997,0,184,0,393,0,303,0,142,0,123,0,0,0,0,0
38000,295357,0,6681,0,198,0,417,0,321,0,156,0,98,0,0,0,0,0
39000,298004,0,6708,0,195,0,406,0,316,0,153,0,107,0,1,0,0,0
40000,301001,0,7375,0,227,0,566,0,333,0,172,0,109,0,3,0,0,0
41000,298058,0,7512,0,218,0,550,0,330,0,162,0,111,0,1,0,0,0
42000,292918,0,7595,0,213,0,559,0,378,0,177,0,127,0,1,0,0,0
43000,288930,0,8276,0,257,0,538,0,385,0,190,0,148,0,0,0,1,0
44000,291035,0,7647,0,250,0,438,0,358,0,167,0,138,0,2,0,0,0
45000,286531,0,7144,0,212,0,461,0,338,0,194,0,122,0,1,0,0,0
46000,283888,0,7557,0,266,0,428,0,357,0,179,0,142,0,1,0,0,0
47000,279885,0,8077,0,254,0,413,0,335,0,184,0,136,0,0,0,0,0
48000,277779,0,8197,0,295,0,422,0,400,0,177,0,128,0,0,0,0,0
49000,275999,0,8066,0,331,0,465,0,390,0,201,0,140,0,2,0,0,0
50000,274505,0,7685,0,300,0,475,0,343,0,177,0,131,0,3,0,0,0
