update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,347641,0,906,0,25,0,89,0,34,0,3,0,8,0,0,0,0,0
2000,343774,0,985,0,35,0,100,0,38,0,11,0,11,0,0,0,0,0
3000,341480,0,933,0,32,0,98,0,45,0,15,0,12,0,0,0,0,0
4000,344188,0,897,0,33,0,126,0,69,0,22,0,20,0,0,0,0,0
5000,347618,0,847,0,41,0,127,0,81,0,25,0,20,0,0,0,0,0
6000,346340,0,725,0,46,0,177,0,66,0,30,0,29,0,0,0,0,0
7000,343943,0,607,0,47,0,128,0,94,0,30,0,39,0,0,0,0,0
8000,337373,0,854,0,54,0,151,0,91,0,34,0,27,0,0,0,0,0
9000,337058,0,982,0,58,0,162,0,140,0,47,0,36,0,0,0,0,0
10000,335115,0,1065,0,78,0,186,0,96,0,43,0,43,0,0,0,0,0
11000,332326,0,1366,0,54,0,176,0,119,0,67,0,49,0,0,0,0,0
12000,328613,0,1876,0,77,0,173,0,109,0,58,0,46,0,0,0,0,0
13000,326050,0,2082,0,87,0,180,0,137,0,62,0,61,0,0,0,0,0
14000,323692,0,1943,0,72,0,199,0,168,0,54,0,54,0,0,0,0,0
15000,320309,0,2003,0,99,0,252,0,140,0,73,0,67,0,0,0,0,0
16000,320610,0,2086,0,102,0,220,0,152,0,93,0,73,0,0,0,0,0
17000,319901,0,2419,0,90,0,259,0,139,0,79,0,73,0,1,0,0,0
18000,317238,0,2792,0,93,0,280,0,141,0,62,0,87,0,0,0,0,0
19000,317733,0,2831,0,117,0,245,0,178,0,92,0,73,0,0,0,0,0
20000,317439,0,3131,0,122,0,279,0,186,0,83,0,86,0,0,0,0,0
21000,313010,0,3366,0,112,0,239,0,182,0,100,0,69,0,0,0,0,0
22000,308189,0,3498,0,127,0,276,0,208,0,85,0,79,0,1,0,0,0
23000,308822,0,3465,0,126,0,295,0,204,0,109,0,74,0,0,0,0,0
24000,305483,0,3455,0,155,0,298,0,212,0,104,0,73,0,0,0,0,0
25000,302261,0,3825,0,130,0,290,0,222,0,97,0,97,0,0,0,0,0
26000,301760,0,3967,0,135,0,301,0,225,0,103,0,91,0,0,0,0,0
27000,301578,0,3808,0,148,0,314,0,251,0,137,0,118,0,0,0,1,0
28000,300733,0,3671,0,168,0,331,0,236,0,131,0,105,0,2,0,0,0
29000,296256,0,3742,0,148,0,327,0,266,0,118,0,94,0,0,0,0,0
30000,293622,0,4094,0,284,0,335,0,263,0,142,0,116,0,1,0,0,0
31000,291512,0,4639,0,339,0,388,0,291,0,131,0,93,0,2,0,0,0
32000,289919,0,5530,0,300,0,784,0,268,0,129,0,103,0,2,0,0,0
33000,288730,0,6077,0,312,0,1055,0,279,0,121,0,90,0,2,0,1,0
34000,283561,0,6533,0,319,0,1056,0,287,0,142,0,118,0,4,0,1,0
35000,281418,0,6659,0,315,0,1040,0,296,0,141,0,118,0,3,0,1,0
36000,284251,0,6234,0,329,0,1205,0,290,0,150,0,107,0,1,0,0,0
37000,285410,0,6933,0,187,0,823,0,303,0,168,0,115,0,2,0,0,0
38000,281706,0,7156,0,208,0,810,0,351,0,140,0,117,0,1,0,0,0
39000,279696,0,7240,0,175,0,789,0,356,0,139,0,115,0,6,0,0,0
40000,280748,0,7200,0,211,0,818,0,336,0,156,0,110,0,5,0,0,0
41000,278725,0,7078,0,198,0,814,0,355,0,158,0,129,0,3,0,0,0
42000,277665,0,7300,0,214,0,746,0,468,0,184,0,138,0,2,0,0,0
43000,275051,0,7681,0,225,0,640,0,482,0,185,0,131,0,0,0,0,0
44000,278286,0,7253,0,239,0,630,0,495,0,173,0,110,0,0,0,0,0
45000,277717,0,7480,0,214,0,589,0,517,0,174,0,124,0,3,0,0,0
46000,276033,0,7875,0,202,0,632,0,545,0,182,0,171,0,1,0,0,0
