update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,347576,0,925,0,18,0,68,0,25,0,2,0,4,0,0,0,0,0
2000,350034,0,940,0,35,0,108,0,58,0,7,0,14,0,0,0,0,0
3000,350082,0,975,0,33,0,122,0,47,0,8,0,17,0,0,0,0,0
4000,349802,0,1134,0,43,0,123,0,68,0,20,0,18,0,0,0,0,0
5000,348114,0,1253,0,48,0,133,0,69,0,22,0,21,0,0,0,0,0
6000,346953,0,1535,0,50,0,119,0,84,0,31,0,31,0,0,0,0,0
7000,344572,0,1665,0,54,0,141,0,75,0,19,0,36,0,1,0,0,0
8000,343955,0,2389,0,70,0,152,0,95,0,44,0,28,0,0,0,0,0
9000,342109,0,2480,0,59,0,182,0,108,0,50,0,34,0,0,0,0,0
10000,341348,0,2721,0,78,0,181,0,126,0,51,0,35,0,1,0,0,0
11000,343671,0,3162,0,73,0,179,0,131,0,64,0,39,0,0,0,0,0
12000,340122,0,2885,0,72,0,223,0,134,0,54,0,54,0,0,0,0,0
13000,335880,0,2793,0,107,0,176,0,131,0,60,0,55,0,0,0,0,0
14000,331653,0,2794,0,95,0,216,0,121,0,85,0,60,0,0,0,0,0
15000,324830,0,2754,0,98,0,199,0,139,0,70,0,77,0,0,0,0,0
16000,323384,0,2462,0,105,0,199,0,159,0,68,0,69,0,0,0,0,0
17000,322202,0,2559,0,119,0,192,0,151,0,67,0,69,0,1,0,0,0
18000,320093,0,2966,0,103,0,218,0,171,0,76,0,50,0,0,0,0,0
19000,316672,0,3091,0,101,0,223,0,179,0,87,0,57,0,0,0,0,0
20000,310934,0,3069,0,112,0,220,0,169,0,102,0,66,0,0,0,0,0
21000,305544,0,3143,0,111,0,251,0,149,0,74,0,77,0,0,0,0,0
22000,300564,0,3185,0,123,0,220,0,204,0,81,0,75,0,0,0,0,0
23000,303997,0,3236,0,124,0,230,0,161,0,73,0,52,0,0,0,0,0
24000,305007,0,3352,0,124,0,236,0,184,0,80,0,89,0,0,0,0,0
25000,304818,0,3876,0,132,0,220,0,180,0,76,0,80,0,0,0,0,0
26000,308316,0,4036,0,119,0,283,0,214,0,90,0,69,0,0,0,0,0
27000,308245,0,4189,0,147,0,268,0,217,0,113,0,95,0,1,0,0,0
28000,304391,0,4119,0,137,0,256,0,205,0,101,0,90,0,0,0,0,0
29000,302206,0,4165,0,129,0,271,0,234,0,106,0,81,0,2,0,0,0
30000,299165,0,4702,0,152,0,322,0,219,0,119,0,77,0,1,0,0,0
31000,300033,0,5009,0,151,0,306,0,253,0,106,0,98,0,2,0,0,0
32000,298846,0,5382,0,150,0,367,0,250,0,118,0,80,0,1,0,0,0
33000,297887,0,6055,0,179,0,307,0,290,0,122,0,120,0,3,0,0,0
34000,296933,0,6412,0,176,0,341,0,305,0,128,0,99,0,2,0,0,0
35000,293964,0,6820,0,184,0,374,0,284,0,157,0,112,0,2,0,0,0
36000,291211,0,6427,0,206,0,390,0,291,0,166,0,106,0,2,0,0,0
37000,287304,0,5943,0,199,0,366,0,282,0,145,0,104,0,2,0,0,0
38000,284528,0,6005,0,188,0,355,0,297,0,157,0,117,0,2,0,0,0
39000,285389,0,6065,0,189,0,370,0,306,0,144,0,117,0,3,0,0,0
40000,282972,0,6204,0,200,0,326,0,338,0,158,0,121,0,2,0,0,0
41000,282366,0,6883,0,219,0,364,0,318,0,180,0,154,0,4,0,0,0
42000,283845,0,6971,0,221,0,350,0,329,0,196,0,123,0,0,0,0,0
43000,281270,0,7195,0,234,0,392,0,347,0,196,0,113,0,0,0,0,0
44000,281769,0,7475,0,223,0,378,0,384,0,185,0,129,0,1,0,0,0
45000,278456,0,7845,0,245,0,388,0,368,0,216,0,161,0,1,0,0,0
46000,276796,0,8139,0,239,0,436,0,384,0,215,0,149,0,0,0,0,0
47000,279393,0,7999,0,229,0,388,0,334,0,214,0,147,0,2,0,0,0
48000,276285,0,7693,0,239,0,420,0,361,0,228,0,147,0,2,0,0,0
49000,272995,0,7419,0,246,0,441,0,335,0,237,0,139,0,0,0,0,0
50000,271279,0,7371,0,254,0,407,0,391,0,235,0,138,0,4,0,0,0
