update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,102352,0,272,0,9,0,24,0,20,0,4,0,4,0,0,0,0,0
2000,100181,0,224,0,16,0,30,0,17,0,2,0,3,0,0,0,0,0
3000,99822,0,201,0,15,0,23,0,12,0,5,0,2,0,0,0,0,0
4000,99748,0,117,0,8,0,25,0,10,0,6,0,5,0,0,0,0,0
5000,99388,0,314,0,10,0,35,0,15,0,5,0,4,0,0,0,0,0
6000,99381,0,325,0,5,0,26,0,17,0,8,0,5,0,0,0,0,0
7000,99361,0,289,0,10,0,28,0,19,0,3,0,5,0,0,0,0,0
8000,99067,0,344,0,11,0,28,0,21,0,5,0,12,0,0,0,0,0
9000,98999,0,287,0,15,0,37,0,25,0,9,0,9,0,0,0,0,0
10000,99280,0,271,0,18,0,26,0,15,0,7,0,6,0,0,0,0,0
11000,99502,0,224,0,11,0,27,0,16,0,5,0,3,0,0,0,0,0
12000,99391,0,170,0,10,0,36,0,19,0,7,0,3,0,0,0,0,0
13000,99296,0,166,0,14,0,32,0,24,0,8,0,3,0,0,0,0,0
14000,99360,0,146,0,17,0,32,0,16,0,8,0,5,0,0,0,0,0
15000,99102,0,386,0,16,0,15,0,20,0,4,0,9,0,0,0,0,0
16000,98772,0,381,0,19,0,33,0,21,0,11,0,9,0,0,0,0,0
17000,98705,0,422,0,13,0,55,0,22,0,7,0,8,0,0,0,0,0
18000,98872,0,572,0,9,0,30,0,24,0,9,0,3,0,0,0,0,0
19000,98428,0,569,0,16,0,44,0,23,0,17,0,10,0,0,0,0,0
20000,98626,0,605,0,13,0,47,0,26,0,6,0,6,0,0,0,0,0
21000,98259,0,664,0,13,0,42,0,27,0,11,0,13,0,0,0,0,0
22000,98244,0,616,0,16,0,35,0,27,0,15,0,13,0,0,0,0,0
23000,98333,0,643,0,13,0,44,0,24,0,10,0,12,0,0,0,0,0
24000,98337,0,621,0,14,0,35,0,28,0,15,0,9,0,0,0,0,0
25000,98318,0,635,0,13,0,46,0,24,0,12,0,11,0,1,0,0,0
26000,98310,0,613,0,7,0,37,0,23,0,10,0,17,0,0,0,0,0
27000,98091,0,619,0,16,0,32,0,34,0,14,0,14,0,0,0,0,0
28000,98186,0,588,0,18,0,35,0,29,0,13,0,15,0,0,0,0,0
29000,98305,0,609,0,14,0,41,0,26,0,18,0,9,0,0,0,0,0
30000,98283,0,680,0,15,0,36,0,31,0,15,0,7,0,0,0,0,0
31000,97822,0,806,0,19,0,45,0,25,0,12,0,19,0,0,0,0,0
32000,97931,0,844,0,17,0,38,0,24,0,14,0,15,0,0,0,0,0
33000,97547,0,934,0,18,0,42,0,36,0,13,0,19,0,0,0,0,0
34000,97473,0,958,0,22,0,45,0,45,0,13,0,12,0,0,0,0,0
35000,97598,0,940,0,25,0,40,0,43,0,12,0,12,0,0,0,0,0
36000,97387,0,910,0,24,0,56,0,47,0,14,0,10,0,0,0,0,0
37000,97546,0,874,0,23,0,40,0,47,0,16,0,14,0,0,0,0,0
38000,97872,0,855,0,16,0,44,0,25,0,20,0,11,0,0,0,0,0
39000,97539,0,817,0,22,0,49,0,41,0,22,0,10,0,0,0,0,0
40000,97403,0,808,0,17,0,55,0,39,0,20,0,16,0,0,0,0,0
41000,97377,0,827,0,31,0,52,0,35,0,19,0,18,0,0,0,0,0
42000,97314,0,789,0,18,0,49,0,39,0,17,0,24,0,0,0,0,0
43000,97169,0,774,0,32,0,45,0,45,0,24,0,21,0,0,0,0,0
44000,97180,0,856,0,33,0,51,0,37,0,11,0,26,0,0,0,0,0
45000,97142,0,897,0,21,0,54,0,38,0,20,0,22,0,0,0,0,0
46000,97021,0,997,0,28,0,55,0,49,0,19,0,19,0,0,0,0,0
47000,97080,0,920,0,28,0,52,0,42,0,26,0,18,0,0,0,0,0
48000,96910,0,879,0,35,0,61,0,40,0,22,0,22,0,1,0,0,0
49000,97050,0,937,0,26,0,38,0,51,0,28,0,19,0,0,0,0,0
50000,96717,0,1151,0,21,0,45,0,55,0,23,0,19,0,0,0,0,0
