update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,347584,0,917,0,32,0,109,0,32,0,7,0,4,0,0,0,0,0
2000,344605,0,806,0,38,0,82,0,43,0,9,0,9,0,0,0,0,0
3000,342440,0,709,0,39,0,112,0,50,0,12,0,19,0,0,0,0,0
4000,342942,0,596,0,30,0,129,0,61,0,17,0,13,0,0,0,0,0
5000,343591,0,959,0,45,0,116,0,66,0,19,0,23,0,0,0,0,0
6000,342708,0,1004,0,46,0,139,0,80,0,28,0,31,0,0,0,0,0
7000,342045,0,1234,0,44,0,146,0,81,0,36,0,34,0,0,0,0,0
8000,343478,0,1585,0,51,0,151,0,97,0,32,0,36,0,0,0,0,0
9000,346620,0,1912,0,96,0,154,0,110,0,37,0,45,0,0,0,0,0
10000,346040,0,2051,0,72,0,190,0,116,0,59,0,53,0,0,0,0,0
11000,343802,0,2277,0,65,0,194,0,123,0,53,0,60,0,0,0,0,0
12000,342816,0,1478,0,85,0,180,0,150,0,53,0,55,0,3,0,0,0
13000,341229,0,1547,0,104,0,232,0,116,0,87,0,61,0,0,0,0,0
14000,340479,0,1770,0,80,0,228,0,145,0,74,0,63,0,1,0,0,0
15000,335669,0,1971,0,85,0,202,0,142,0,72,0,75,0,0,0,0,0
16000,335314,0,2040,0,117,0,247,0,140,0,68,0,79,0,0,0,0,0
17000,335685,0,2373,0,98,0,289,0,142,0,68,0,80,0,0,0,0,0
18000,333297,0,2419,0,117,0,263,0,152,0,70,0,47,0,2,0,0,0
19000,331183,0,2718,0,131,0,233,0,164,0,78,0,80,0,2,0,0,0
20000,326868,0,2778,0,137,0,266,0,157,0,89,0,79,0,2,0,0,0
21000,319825,0,2828,0,128,0,256,0,166,0,105,0,84,0,1,0,0,0
22000,314175,0,2946,0,138,0,216,0,208,0,93,0,93,0,1,0,0,0
23000,312793,0,3221,0,129,0,239,0,199,0,103,0,89,0,0,0,0,0
24000,310547,0,3435,0,135,0,244,0,198,0,122,0,76,0,0,0,0,0
25000,309771,0,3754,0,125,0,274,0,193,0,111,0,102,0,1,0,0,0
26000,307001,0,3768,0,130,0,257,0,203,0,93,0,87,0,1,0,0,0
27000,304380,0,3658,0,166,0,267,0,240,0,128,0,110,0,0,0,0,0
28000,302460,0,3627,0,184,0,371,0,220,0,133,0,99,0,1,0,0,0
29000,302837,0,4076,0,303,0,426,0,236,0,112,0,86,0,0,0,0,0
30000,304246,0,4017,0,180,0,466,0,232,0,137,0,107,0,0,0,0,0
31000,304263,0,3740,0,178,0,439,0,297,0,121,0,136,0,0,0,0,0
32000,305256,0,3233,0,159,0,666,0,238,0,140,0,104,0,1,0,0,0
33000,307462,0,3339,0,177,0,820,0,263,0,128,0,99,0,0,0,0,0
34000,304710,0,3476,0,174,0,884,0,262,0,139,0,120,0,1,0,0,0
35000,302039,0,4131,0,176,0,949,0,269,0,152,0,110,0,1,0,0,0
36000,294767,0,4205,0,199,0,708,0,293,0,157,0,142,0,3,0,0,0
37000,294713,0,4101,0,238,0,664,0,293,0,143,0,113,0,1,0,0,0
38000,295792,0,4440,0,272,0,732,0,270,0,147,0,119,0,3,0,0,0
39000,298825,0,5463,0,241,0,827,0,303,0,160,0,138,0,0,0,0,0
40000,294608,0,6229,0,256,0,807,0,273,0,161,0,129,0,2,0,0,0
41000,292273,0,6534,0,251,0,839,0,308,0,179,0,133,0,1,0,1,0
42000,289854,0,6688,0,289,0,824,0,336,0,183,0,130,0,0,0,0,0
43000,291003,0,7240,0,219,0,951,0,349,0,157,0,127,0,0,0,1,0
44000,290500,0,8001,0,332,0,1049,0,355,0,184,0,154,0,2,0,0,0
45000,289249,0,8144,0,299,0,1149,0,338,0,188,0,128,0,2,0,0,0
46000,285568,0,8395,0,275,0,1327,0,339,0,204,0,117,0,6,0,0,0
47000,284178,0,8827,0,301,0,1237,0,371,0,199,0,145,0,8,0,1,0
48000,284875,0,9227,0,317,0,1278,0,370,0,196,0,145,0,3,0,0,0
49000,281736,0,9174,0,277,0,1569,0,407,0,216,0,150,0,6,0,0,0
50000,279437,0,9775,0,293,0,2111,0,438,0,225,0,140,0,3,0,0,0
