update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,102107,0,277,0,14,0,21,0,7,0,0,0,3,0,0,0,0,0
2000,100061,0,202,0,9,0,21,0,8,0,2,0,2,0,0,0,0,0
3000,99957,0,229,0,7,0,28,0,6,0,2,0,2,0,0,0,0,0
4000,99148,0,436,0,11,0,33,0,26,0,4,0,5,0,0,0,0,0
5000,99348,0,471,0,5,0,28,0,12,0,9,0,3,0,0,0,0,0
6000,99055,0,587,0,13,0,35,0,9,0,4,0,7,0,0,0,0,0
7000,98901,0,786,0,8,0,25,0,15,0,5,0,8,0,0,0,0,0
8000,99096,0,616,0,7,0,29,0,18,0,5,0,3,0,0,0,0,0
9000,99206,0,498,0,5,0,27,0,14,0,5,0,7,0,0,0,0,0
10000,98924,0,476,0,12,0,33,0,24,0,6,0,6,0,0,0,0,0
11000,98866,0,449,0,19,0,31,0,20,0,10,0,8,0,0,0,0,0
12000,99021,0,408,0,14,0,33,0,16,0,10,0,8,0,0,0,0,0
13000,99037,0,409,0,13,0,27,0,24,0,8,0,4,0,0,0,0,0
14000,98916,0,356,0,11,0,32,0,23,0,5,0,9,0,0,0,0,0
15000,98804,0,318,0,12,0,49,0,24,0,11,0,7,0,1,0,0,0
16000,98716,0,306,0,11,0,40,0,32,0,11,0,10,0,0,0,0,0
17000,98723,0,292,0,17,0,31,0,29,0,4,0,14,0,1,0,0,0
18000,98402,0,344,0,19,0,50,0,28,0,12,0,12,0,1,0,0,0
19000,98648,0,349,0,12,0,37,0,30,0,14,0,12,0,0,0,0,0
20000,98542,0,336,0,28,0,47,0,31,0,13,0,8,0,0,0,0,0
21000,98791,0,314,0,21,0,52,0,25,0,15,0,4,0,0,0,0,0
22000,98306,0,295,0,16,0,45,0,30,0,13,0,20,0,0,0,0,0
23000,98593,0,311,0,11,0,41,0,25,0,13,0,15,0,0,0,0,0
24000,98345,0,307,0,21,0,50,0,24,0,18,0,14,0,0,0,0,0
25000,98533,0,313,0,15,0,46,0,37,0,16,0,7,0,0,0,0,0
26000,98491,0,337,0,17,0,42,0,24,0,15,0,13,0,0,0,0,0
27000,98422,0,334,0,25,0,50,0,23,0,15,0,13,0,0,0,0,0
28000,98370,0,328,0,29,0,44,0,31,0,13,0,15,0,0,0,0,0
29000,98257,0,328,0,24,0,56,0,38,0,19,0,8,0,0,0,0,0
30000,98023,0,346,0,21,0,61,0,40,0,17,0,14,0,0,0,0,0
31000,98316,0,342,0,27,0,47,0,37,0,11,0,12,0,0,0,0,0
32000,98216,0,456,0,18,0,55,0,34,0,18,0,11,0,0,0,0,0
33000,98166,0,503,0,25,0,45,0,25,0,24,0,12,0,0,0,0,0
34000,98185,0,485,0,23,0,42,0,38,0,18,0,9,0,0,0,0,0
35000,97835,0,489,0,18,0,56,0,26,0,27,0,18,0,0,0,0,0
36000,97472,0,485,0,26,0,56,0,41,0,22,0,25,0,0,0,0,0
37000,97897,0,471,0,23,0,41,0,29,0,22,0,23,0,0,0,0,0
38000,97878,0,455,0,33,0,53,0,38,0,24,0,11,0,0,0,0,0
39000,98292,0,334,0,24,0,36,0,29,0,22,0,13,0,0,0,0,0
40000,97950,0,430,0,30,0,42,0,41,0,11,0,17,0,0,0,0,0
41000,97826,0,490,0,19,0,52,0,38,0,16,0,17,0,0,0,0,0
42000,97616,0,496,0,33,0,38,0,36,0,28,0,19,0,0,0,0,0
43000,97777,0,509,0,19,0,42,0,49,0,13,0,19,0,0,0,0,0
44000,97293,0,526,0,29,0,51,0,44,0,26,0,24,0,0,0,0,0
45000,97235,0,630,0,30,0,58,0,49,0,22,0,19,0,0,0,0,0
46000,97158,0,802,0,25,0,51,0,49,0,22,0,17,0,0,0,0,0
47000,97173,0,973,0,23,0,58,0,34,0,21,0,17,0,2,0,0,0
48000,96845,0,998,0,24,0,54,0,47,0,32,0,17,0,0,0,0,0
49000,96436,0,982,0,33,0,52,0,55,0,36,0,24,0,0,0,0,0
50000,97090,0,974,0,32,0,66,0,39,0,26,0,11,0,1,0,0,0
