update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,52320,0,51,0,6,0,12,0,3,0,0,0,2,0,0,0,0,0
2000,50179,0,49,0,7,0,14,0,11,0,0,0,2,0,0,0,0,0
3000,50235,0,34,0,3,0,10,0,5,0,4,0,3,0,0,0,0,0
4000,50025,0,81,0,9,0,14,0,6,0,4,0,5,0,0,0,0,0
5000,50206,0,89,0,2,0,9,0,6,0,4,0,1,0,0,0,0,0
6000,49964,0,179,0,5,0,6,0,8,0,3,0,1,0,0,0,0,0
7000,49916,0,181,0,3,0,9,0,4,0,5,0,2,0,0,0,0,0
8000,49772,0,192,0,4,0,23,0,10,0,2,0,0,0,0,0,0,0
9000,49941,0,208,0,2,0,8,0,6,0,3,0,2,0,0,0,0,0
10000,49801,0,222,0,7,0,16,0,6,0,1,0,3,0,0,0,0,0
11000,49796,0,210,0,7,0,11,0,8,0,3,0,3,0,0,0,0,0
12000,49767,0,199,0,5,0,13,0,12,0,5,0,2,0,0,0,0,0
13000,49803,0,188,0,4,0,12,0,11,0,3,0,3,0,0,0,0,0
14000,49728,0,189,0,9,0,14,0,16,0,1,0,2,0,0,0,0,0
15000,49764,0,80,0,10,0,12,0,6,0,3,0,5,0,0,0,0,0
16000,49678,0,59,0,5,0,16,0,9,0,6,0,7,0,0,0,0,0
17000,49596,0,49,0,10,0,18,0,15,0,3,0,5,0,0,0,0,0
18000,49515,0,47,0,3,0,24,0,12,0,7,0,6,0,0,0,0,0
19000,49502,0,48,0,6,0,13,0,21,0,7,0,5,0,0,0,0,0
20000,49610,0,47,0,10,0,15,0,5,0,7,0,5,0,0,0,0,0
21000,49465,0,61,0,10,0,10,0,11,0,3,0,9,0,0,0,0,0
22000,49290,0,57,0,6,0,19,0,14,0,5,0,12,0,0,0,0,0
23000,49521,0,84,0,7,0,18,0,9,0,8,0,5,0,0,0,0,0
24000,49594,0,95,0,6,0,21,0,7,0,6,0,4,0,0,0,0,0
25000,49459,0,94,0,5,0,14,0,11,0,10,0,8,0,0,0,0,0
26000,49479,0,125,0,8,0,15,0,14,0,5,0,5,0,0,0,0,0
27000,49396,0,126,0,9,0,22,0,13,0,8,0,5,0,0,0,0,0
28000,49408,0,121,0,10,0,25,0,7,0,7,0,6,0,0,0,0,0
29000,49464,0,117,0,9,0,13,0,10,0,7,0,7,0,0,0,0,0
30000,49528,0,114,0,1,0,14,0,10,0,9,0,7,0,0,0,0,0
31000,49376,0,112,0,9,0,26,0,7,0,9,0,7,0,0,0,0,0
32000,49288,0,114,0,8,0,16,0,10,0,9,0,12,0,0,0,0,0
33000,49438,0,118,0,13,0,20,0,8,0,2,0,8,0,0,0,0,0
34000,49540,0,96,0,10,0,14,0,6,0,5,0,6,0,0,0,0,0
35000,49449,0,89,0,8,0,23,0,8,0,9,0,5,0,0,0,0,0
36000,49337,0,92,0,9,0,23,0,14,0,5,0,8,0,0,0,0,0
37000,49410,0,87,0,10,0,19,0,11,0,11,0,5,0,0,0,0,0
38000,49369,0,95,0,17,0,18,0,11,0,6,0,6,0,0,0,0,0
39000,49489,0,98,0,5,0,12,0,10,0,7,0,6,0,0,0,0,0
40000,49447,0,96,0,6,0,18,0,17,0,13,0,4,0,0,0,0,0
41000,49511,0,52,0,7,0,22,0,12,0,3,0,6,0,0,0,0,0
42000,49448,0,49,0,4,0,20,0,10,0,4,0,12,0,0,0,0,0
43000,49165,0,51,0,8,0,16,0,21,0,9,0,11,0,0,0,0,0
44000,49403,0,121,0,8,0,17,0,7,0,9,0,8,0,0,0,0,0
45000,49252,0,173,0,7,0,29,0,9,0,7,0,8,0,0,0,0,0
46000,49183,0,169,0,12,0,26,0,14,0,8,0,7,0,0,0,0,0
47000,49258,0,175,0,13,0,17,0,8,0,10,0,9,0,0,0,0,0
48000,49131,0,174,0,13,0,27,0,16,0,9,0,7,0,0,0,0,0
49000,49281,0,173,0,7,0,25,0,13,0,8,0,5,0,0,0,0,0
50000,49394,0,185,0,9,0,18,0,8,0,4,0,9,0,0,0,0,0
