update,host_task_NOT,sym_task_NOT,host_task_NAND,sym_task_NAND,host_task_AND,sym_task_AND,host_task_ORN,sym_task_ORN,host_task_OR,sym_task_OR,host_task_ANDN,sym_task_ANDN,host_task_NOR,sym_task_NOR,host_task_XOR,sym_task_XOR,host_task_EQU,sym_task_EQU
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,347640,0,932,0,26,0,94,0,33,0,6,0,5,0,0,0,0,0
2000,347021,0,1114,0,28,0,105,0,53,0,6,0,10,0,0,0,0,0
3000,344937,0,1168,0,41,0,110,0,61,0,32,0,15,0,0,0,0,0
4000,343169,0,1066,0,50,0,143,0,63,0,20,0,13,0,0,0,0,0
5000,343385,0,1070,0,49,0,119,0,77,0,32,0,25,0,0,0,0,0
6000,342057,0,1072,0,54,0,137,0,63,0,32,0,34,0,0,0,0,0
7000,341671,0,997,0,51,0,155,0,84,0,38,0,29,0,2,0,0,0
8000,338769,0,1202,0,50,0,157,0,82,0,28,0,24,0,0,0,0,0
9000,336734,0,1420,0,66,0,136,0,100,0,41,0,34,0,0,0,0,0
10000,335013,0,1769,0,62,0,189,0,115,0,42,0,50,0,0,0,0,0
11000,333422,0,2067,0,72,0,201,0,117,0,46,0,51,0,0,0,0,0
12000,326753,0,2462,0,67,0,213,0,119,0,64,0,54,0,0,0,0,0
13000,322844,0,2631,0,91,0,196,0,146,0,48,0,55,0,0,0,0,0
14000,318803,0,2484,0,82,0,201,0,137,0,69,0,54,0,0,0,0,0
15000,316095,0,2276,0,109,0,220,0,147,0,70,0,56,0,0,0,0,0
16000,319275,0,2273,0,103,0,226,0,129,0,68,0,73,0,0,0,0,0
17000,321002,0,2356,0,114,0,209,0,152,0,70,0,75,0,0,0,0,0
18000,325663,0,2632,0,94,0,216,0,169,0,85,0,63,0,1,0,0,0
19000,322640,0,3341,0,96,0,221,0,172,0,70,0,68,0,1,0,0,0
20000,320794,0,3857,0,116,0,256,0,179,0,103,0,88,0,1,0,0,0
21000,317956,0,4183,0,121,0,233,0,194,0,101,0,95,0,0,0,0,0
22000,314714,0,3976,0,99,0,267,0,203,0,102,0,77,0,2,0,0,0
23000,313322,0,3352,0,110,0,246,0,200,0,108,0,75,0,3,0,0,0
24000,309905,0,3445,0,139,0,246,0,188,0,98,0,90,0,0,0,0,0
25000,309214,0,3411,0,139,0,288,0,193,0,106,0,75,0,0,0,0,0
26000,306250,0,3259,0,108,0,277,0,217,0,95,0,92,0,0,0,0,0
27000,306899,0,3708,0,138,0,318,0,204,0,100,0,118,0,1,0,0,0
28000,303024,0,3965,0,130,0,307,0,237,0,122,0,107,0,0,0,0,0
29000,300984,0,4077,0,123,0,314,0,219,0,116,0,107,0,0,0,0,0
30000,297818,0,4843,0,141,0,277,0,237,0,126,0,97,0,1,0,0,0
31000,295207,0,4804,0,154,0,312,0,277,0,121,0,107,0,0,0,0,0
32000,291805,0,4852,0,158,0,282,0,260,0,117,0,104,0,3,0,0,0
33000,292294,0,4863,0,158,0,290,0,271,0,104,0,102,0,1,0,0,0
34000,294227,0,5012,0,174,0,301,0,254,0,139,0,117,0,0,0,1,0
35000,294950,0,5264,0,174,0,341,0,276,0,139,0,126,0,0,0,0,0
36000,291958,0,5063,0,158,0,387,0,277,0,130,0,115,0,3,0,0,0
37000,294082,0,4695,0,177,0,389,0,289,0,164,0,137,0,1,0,0,0
38000,293191,0,4583,0,197,0,323,0,304,0,133,0,129,0,2,0,0,0
39000,294089,0,4676,0,207,0,351,0,307,0,159,0,122,0,2,0,0,0
40000,295675,0,4733,0,194,0,354,0,320,0,147,0,119,0,1,0,0,0
41000,292451,0,4595,0,203,0,539,0,364,0,168,0,150,0,0,0,0,0
42000,287822,0,5150,0,234,0,535,0,321,0,166,0,128,0,3,0,1,0
43000,284935,0,4511,0,215,0,564,0,360,0,180,0,137,0,0,0,0,0
44000,288710,0,4493,0,205,0,517,0,360,0,178,0,124,0,2,0,0,0
45000,286941,0,4874,0,213,0,538,0,335,0,172,0,129,0,3,0,0,0
46000,282960,0,5275,0,212,0,554,0,332,0,168,0,130,0,1,0,0,0
47000,280753,0,5857,0,247,0,567,0,355,0,196,0,141,0,0,0,0,0
48000,283004,0,6172,0,279,0,534,0,369,0,188,0,161,0,1,0,0,0
49000,280676,0,6080,0,261,0,629,0,364,0,184,0,140,0,1,0,0,0
50000,279393,0,6422,0,231,0,521,0,371,0,174,0,150,0,2,0,0,0
