vert,rep,update,partner,donate_calls,donated,earned,steal_calls,stolen,mutualism,attempts_horiz,success_horiz,attempts_vert,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,10,265000,host,0,0,0,NA,NA,NA,NA,NA,NA,741187,41653,628,393,574,174,39,2,0
No symbiont,10,270000,host,0,0,0,NA,NA,NA,NA,NA,NA,733629,43320,312,403,549,190,36,1,1
No symbiont,10,275000,host,0,0,0,NA,NA,NA,NA,NA,NA,730334,43524,348,560,576,176,48,0,0
No symbiont,10,280000,host,0,0,0,NA,NA,NA,NA,NA,NA,721529,43947,345,824,547,176,28,0,0
No symbiont,10,285000,host,0,0,0,NA,NA,NA,NA,NA,NA,730103,40624,372,637,553,169,40,0,0
No symbiont,10,290000,host,0,0,0,NA,NA,NA,NA,NA,NA,739099,44215,361,676,569,175,40,2,0
No symbiont,10,295000,host,0,0,0,NA,NA,NA,NA,NA,NA,752409,48740,397,518,595,160,28,0,0
No symbiont,10,300000,host,0,0,0,NA,NA,NA,NA,NA,NA,745301,48702,401,477,618,192,47,1,0
No symbiont,10,305000,host,0,0,0,NA,NA,NA,NA,NA,NA,729390,49937,362,482,652,195,37,1,0
No symbiont,10,310000,host,0,0,0,NA,NA,NA,NA,NA,NA,731541,52272,412,433,525,183,29,2,0
No symbiont,10,315000,host,0,0,0,NA,NA,NA,NA,NA,NA,731748,50844,407,521,519,174,46,2,0
No symbiont,10,320000,host,0,0,0,NA,NA,NA,NA,NA,NA,728900,48841,986,408,537,194,33,1,0
No symbiont,10,325000,host,0,0,0,NA,NA,NA,NA,NA,NA,728350,46139,1152,395,509,169,48,3,0
No symbiont,10,330000,host,0,0,0,NA,NA,NA,NA,NA,NA,729129,43410,956,443,539,195,35,1,0
No symbiont,10,335000,host,0,0,0,NA,NA,NA,NA,NA,NA,742960,43324,994,463,585,209,39,1,0
No symbiont,10,340000,host,0,0,0,NA,NA,NA,NA,NA,NA,728221,43200,990,447,614,189,42,1,0
No symbiont,10,345000,host,0,0,0,NA,NA,NA,NA,NA,NA,740487,46278,966,463,547,190,50,4,0
No symbiont,10,350000,host,0,0,0,NA,NA,NA,NA,NA,NA,723556,48622,1033,475,551,180,46,1,0
No symbiont,10,355000,host,0,0,0,NA,NA,NA,NA,NA,NA,706811,48693,1103,446,588,196,49,0,0
No symbiont,10,360000,host,0,0,0,NA,NA,NA,NA,NA,NA,714701,45492,1595,502,597,222,50,0,0
No symbiont,10,365000,host,0,0,0,NA,NA,NA,NA,NA,NA,716102,48529,1511,418,562,203,46,4,0
No symbiont,10,370000,host,0,0,0,NA,NA,NA,NA,NA,NA,716452,49140,1342,431,603,225,56,1,0
No symbiont,10,375000,host,0,0,0,NA,NA,NA,NA,NA,NA,728478,55254,1489,7546,581,216,46,1,0
No symbiont,10,380000,host,0,0,0,NA,NA,NA,NA,NA,NA,711363,108323,5867,33856,615,214,51,6,0
No symbiont,10,385000,host,0,0,0,NA,NA,NA,NA,NA,NA,599368,261745,42820,117430,657,204,37,12,0
No symbiont,10,390000,host,0,0,0,NA,NA,NA,NA,NA,NA,414830,525777,127953,225329,714,149,26,26,0
No symbiont,10,395000,host,0,0,0,NA,NA,NA,NA,NA,NA,331343,606654,155581,236725,692,147,19,35,1
No symbiont,10,400000,host,0,0,0,NA,NA,NA,NA,NA,NA,337618,599969,190318,253002,632,145,30,25,0
No symbiont,10,405000,host,0,0,0,NA,NA,NA,NA,NA,NA,385990,620644,215118,254727,803,159,32,46,1
No symbiont,10,410000,host,0,0,0,NA,NA,NA,NA,NA,NA,394094,641732,255307,215150,770,157,32,31,3
No symbiont,10,415000,host,0,0,0,NA,NA,NA,NA,NA,NA,385885,639155,278235,190843,765,146,33,29,0
No symbiont,10,420000,host,0,0,0,NA,NA,NA,NA,NA,NA,416753,644682,243827,232551,705,131,43,27,2
No symbiont,10,425000,host,0,0,0,NA,NA,NA,NA,NA,NA,418819,646057,282167,229336,672,122,25,39,2
No symbiont,10,430000,host,0,0,0,NA,NA,NA,NA,NA,NA,397678,633333,264558,226623,712,121,38,42,2
No symbiont,10,435000,host,0,0,0,NA,NA,NA,NA,NA,NA,394103,623894,234560,252431,680,135,33,35,2
No symbiont,10,440000,host,0,0,0,NA,NA,NA,NA,NA,NA,423381,613581,214264,308521,700,128,44,42,2
No symbiont,10,445000,host,0,0,0,NA,NA,NA,NA,NA,NA,458060,590480,189889,334376,866,131,40,36,4
No symbiont,10,450000,host,0,0,0,NA,NA,NA,NA,NA,NA,485486,564988,196112,325365,742,124,44,42,0
No symbiont,10,455000,host,0,0,0,NA,NA,NA,NA,NA,NA,490529,578303,210372,357178,689,110,48,34,0
No symbiont,10,460000,host,0,0,0,NA,NA,NA,NA,NA,NA,526137,576598,196370,406367,696,142,59,42,0
No symbiont,10,465000,host,0,0,0,NA,NA,NA,NA,NA,NA,561163,543649,151972,407848,714,132,65,32,0
No symbiont,10,470000,host,0,0,0,NA,NA,NA,NA,NA,NA,544694,555906,112293,460970,710,143,60,38,2
No symbiont,10,475000,host,0,0,0,NA,NA,NA,NA,NA,NA,556934,529053,76914,494889,727,123,74,34,0
No symbiont,10,480000,host,0,0,0,NA,NA,NA,NA,NA,NA,586040,509742,103276,413656,1611,169,66,39,0
No symbiont,10,485000,host,0,0,0,NA,NA,NA,NA,NA,NA,511179,571014,103720,420200,782,157,57,36,1
No symbiont,10,490000,host,0,0,0,NA,NA,NA,NA,NA,NA,493193,622500,108604,502286,745,153,53,48,0
No symbiont,10,495000,host,0,0,0,NA,NA,NA,NA,NA,NA,460553,626601,111392,503863,699,153,42,41,1
No symbiont,10,500000,host,0,0,0,NA,NA,NA,NA,NA,NA,429205,645346,136163,458531,712,126,38,50,0
No symbiont,10,505000,host,0,0,0,NA,NA,NA,NA,NA,NA,169241,2.18148e+06,393715,8.2239e+06,272,111,47,282,0
No symbiont,10,510000,host,0,0,0,NA,NA,NA,NA,NA,NA,34,63575,0,306983,0,0,0,10,0
No symbiont,10,515000,host,0,0,0,NA,NA,NA,NA,NA,NA,37,67307,0,306447,0,0,0,6,0
No symbiont,10,520000,host,0,0,0,NA,NA,NA,NA,NA,NA,45,69733,0,306052,0,0,0,9,0
No symbiont,11,0,host,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
No symbiont,11,5000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.99291e+06,0,406,185,406,10,0,0,0
No symbiont,11,10000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.26312e+06,293,206,100,201,11,0,0,0
No symbiont,11,15000,host,0,0,0,NA,NA,NA,NA,NA,NA,977310,847,120,71,131,10,0,0,0
No symbiont,11,20000,host,0,0,0,NA,NA,NA,NA,NA,NA,840859,771,110,81,117,19,0,0,0
No symbiont,11,25000,host,0,0,0,NA,NA,NA,NA,NA,NA,746558,1185,69,55,82,20,2,0,0
No symbiont,11,30000,host,0,0,0,NA,NA,NA,NA,NA,NA,696300,2460,52,43,81,16,5,0,0
No symbiont,11,35000,host,0,0,0,NA,NA,NA,NA,NA,NA,660643,2948,53,60,75,14,3,0,0
No symbiont,11,40000,host,0,0,0,NA,NA,NA,NA,NA,NA,645839,3425,52,64,88,14,3,0,0
No symbiont,11,45000,host,0,0,0,NA,NA,NA,NA,NA,NA,633357,5049,53,70,105,10,2,0,0
No symbiont,11,50000,host,0,0,0,NA,NA,NA,NA,NA,NA,625234,6580,62,69,96,10,6,0,0
No symbiont,11,55000,host,0,0,0,NA,NA,NA,NA,NA,NA,612813,8070,57,72,94,16,12,0,0
No symbiont,11,60000,host,0,0,0,NA,NA,NA,NA,NA,NA,609799,7414,73,104,83,27,7,2,0
No symbiont,11,65000,host,0,0,0,NA,NA,NA,NA,NA,NA,602383,7387,72,82,120,22,11,0,0
No symbiont,11,70000,host,0,0,0,NA,NA,NA,NA,NA,NA,610744,9934,69,83,115,22,15,0,0
No symbiont,11,75000,host,0,0,0,NA,NA,NA,NA,NA,NA,614379,11582,82,152,165,28,12,2,0
No symbiont,11,80000,host,0,0,0,NA,NA,NA,NA,NA,NA,606241,13960,84,613,149,38,12,1,0
No symbiont,11,85000,host,0,0,0,NA,NA,NA,NA,NA,NA,604000,15935,112,200,168,27,19,0,0
No symbiont,11,90000,host,0,0,0,NA,NA,NA,NA,NA,NA,624928,14594,108,218,170,36,14,0,0
No symbiont,11,95000,host,0,0,0,NA,NA,NA,NA,NA,NA,642684,12747,113,245,232,48,11,1,0
No symbiont,11,100000,host,0,0,0,NA,NA,NA,NA,NA,NA,653529,14163,145,235,216,61,16,0,0
No symbiont,11,105000,host,0,0,0,NA,NA,NA,NA,NA,NA,652833,14101,127,212,187,52,16,0,0
No symbiont,11,110000,host,0,0,0,NA,NA,NA,NA,NA,NA,666056,15147,131,272,215,62,29,0,0
No symbiont,11,115000,host,0,0,0,NA,NA,NA,NA,NA,NA,678473,15047,135,712,252,60,25,0,0
No symbiont,11,120000,host,0,0,0,NA,NA,NA,NA,NA,NA,680905,16067,171,599,282,75,21,0,0
No symbiont,11,125000,host,0,0,0,NA,NA,NA,NA,NA,NA,694346,18079,179,405,280,72,18,0,0
No symbiont,11,130000,host,0,0,0,NA,NA,NA,NA,NA,NA,704813,21000,201,395,299,90,30,0,0
No symbiont,11,135000,host,0,0,0,NA,NA,NA,NA,NA,NA,713039,22749,202,912,327,109,36,1,0
No symbiont,11,140000,host,0,0,0,NA,NA,NA,NA,NA,NA,709808,25590,221,1685,344,89,27,1,0
No symbiont,11,145000,host,0,0,0,NA,NA,NA,NA,NA,NA,719581,24379,239,583,374,95,23,0,0
No symbiont,11,150000,host,0,0,0,NA,NA,NA,NA,NA,NA,721654,25273,250,382,407,97,27,1,0
No symbiont,11,155000,host,0,0,0,NA,NA,NA,NA,NA,NA,738789,24111,266,394,385,106,32,0,0
No symbiont,11,160000,host,0,0,0,NA,NA,NA,NA,NA,NA,736097,27773,282,407,412,109,32,0,0
No symbiont,11,165000,host,0,0,0,NA,NA,NA,NA,NA,NA,744301,28194,300,419,413,106,36,1,0
No symbiont,11,170000,host,0,0,0,NA,NA,NA,NA,NA,NA,745829,29263,265,359,453,140,28,2,0
No symbiont,11,175000,host,0,0,0,NA,NA,NA,NA,NA,NA,762384,30699,274,344,432,122,40,0,0
No symbiont,11,180000,host,0,0,0,NA,NA,NA,NA,NA,NA,772664,35296,290,390,465,124,48,1,0
No symbiont,11,185000,host,0,0,0,NA,NA,NA,NA,NA,NA,758380,40163,334,439,497,125,35,1,0
No symbiont,11,190000,host,0,0,0,NA,NA,NA,NA,NA,NA,734464,45940,301,475,444,134,47,3,0
No symbiont,11,195000,host,0,0,0,NA,NA,NA,NA,NA,NA,712204,51535,314,528,461,140,32,0,0
No symbiont,11,200000,host,0,0,0,NA,NA,NA,NA,NA,NA,713980,50655,354,917,441,149,34,2,0
No symbiont,11,205000,host,0,0,0,NA,NA,NA,NA,NA,NA,711568,51409,317,974,507,151,33,1,0
No symbiont,11,210000,host,0,0,0,NA,NA,NA,NA,NA,NA,720801,48467,316,997,495,157,41,2,0
No symbiont,11,215000,host,0,0,0,NA,NA,NA,NA,NA,NA,733838,50540,330,787,491,135,41,3,0
No symbiont,11,220000,host,0,0,0,NA,NA,NA,NA,NA,NA,753703,55275,329,505,569,161,33,1,0
No symbiont,11,225000,host,0,0,0,NA,NA,NA,NA,NA,NA,741741,58323,339,736,530,174,44,1,0
No symbiont,11,230000,host,0,0,0,NA,NA,NA,NA,NA,NA,724183,56675,405,639,542,151,41,3,0
No symbiont,11,235000,host,0,0,0,NA,NA,NA,NA,NA,NA,724406,54400,397,410,550,188,34,1,0
No symbiont,11,240000,host,0,0,0,NA,NA,NA,NA,NA,NA,720703,58280,386,1223,542,168,42,2,0
No symbiont,11,245000,host,0,0,0,NA,NA,NA,NA,NA,NA,713648,65143,384,2137,551,187,28,2,0
No symbiont,11,250000,host,0,0,0,NA,NA,NA,NA,NA,NA,703807,63573,434,1655,551,187,34,1,0
No symbiont,11,255000,host,0,0,0,NA,NA,NA,NA,NA,NA,712401,62897,379,1585,548,197,44,0,0
No symbiont,11,260000,host,0,0,0,NA,NA,NA,NA,NA,NA,719039,64193,400,1413,563,186,39,0,0
No symbiont,11,265000,host,0,0,0,NA,NA,NA,NA,NA,NA,725742,64901,381,1890,590,179,31,0,0
No symbiont,11,270000,host,0,0,0,NA,NA,NA,NA,NA,NA,716475,67950,407,2361,594,198,34,1,0
No symbiont,11,275000,host,0,0,0,NA,NA,NA,NA,NA,NA,717114,68572,377,2824,616,173,45,1,1
No symbiont,11,280000,host,0,0,0,NA,NA,NA,NA,NA,NA,722549,72098,376,3271,571,189,36,0,1
No symbiont,11,285000,host,0,0,0,NA,NA,NA,NA,NA,NA,744752,66340,354,2129,588,185,41,3,0
No symbiont,11,290000,host,0,0,0,NA,NA,NA,NA,NA,NA,730250,62362,345,1935,574,188,30,0,1
No symbiont,11,295000,host,0,0,0,NA,NA,NA,NA,NA,NA,714956,60606,381,1360,604,191,45,0,0
No symbiont,11,300000,host,0,0,0,NA,NA,NA,NA,NA,NA,720624,60856,383,1264,575,186,33,2,1
No symbiont,11,305000,host,0,0,0,NA,NA,NA,NA,NA,NA,743639,57820,409,2788,574,189,46,1,0
No symbiont,11,310000,host,0,0,0,NA,NA,NA,NA,NA,NA,753456,57360,445,2940,548,221,48,1,0
No symbiont,11,315000,host,0,0,0,NA,NA,NA,NA,NA,NA,737644,53769,398,3130,603,201,34,1,0
No symbiont,11,320000,host,0,0,0,NA,NA,NA,NA,NA,NA,730432,55100,402,2757,615,194,36,0,0
No symbiont,11,325000,host,0,0,0,NA,NA,NA,NA,NA,NA,735916,57932,892,2138,623,210,55,1,0
No symbiont,11,330000,host,0,0,0,NA,NA,NA,NA,NA,NA,728382,58085,1360,1726,577,205,37,2,0
No symbiont,11,335000,host,0,0,0,NA,NA,NA,NA,NA,NA,740223,56625,1449,1589,632,204,62,1,0
No symbiont,11,340000,host,0,0,0,NA,NA,NA,NA,NA,NA,759751,54829,1200,1258,570,230,38,1,0
No symbiont,11,345000,host,0,0,0,NA,NA,NA,NA,NA,NA,761163,56138,1903,721,658,218,40,4,0
No symbiont,11,350000,host,0,0,0,NA,NA,NA,NA,NA,NA,766777,61629,3203,565,631,222,43,1,0
No symbiont,11,355000,host,0,0,0,NA,NA,NA,NA,NA,NA,768560,68471,3582,1076,606,227,45,0,0
No symbiont,11,360000,host,0,0,0,NA,NA,NA,NA,NA,NA,781042,68695,2513,2629,651,199,44,0,1
No symbiont,11,365000,host,0,0,0,NA,NA,NA,NA,NA,NA,778618,71755,2801,9736,679,215,55,1,0
No symbiont,11,370000,host,0,0,0,NA,NA,NA,NA,NA,NA,777823,87777,3279,37574,665,194,40,5,0
No symbiont,11,375000,host,0,0,0,NA,NA,NA,NA,NA,NA,797548,115946,3511,86821,738,203,44,3,0
No symbiont,11,380000,host,0,0,0,NA,NA,NA,NA,NA,NA,829590,135474,3081,124195,966,209,46,9,0
No symbiont,11,385000,host,0,0,0,NA,NA,NA,NA,NA,NA,894396,160234,2640,183986,1158,254,68,4,1
No symbiont,11,390000,host,0,0,0,NA,NA,NA,NA,NA,NA,951113,183089,2197,252094,1017,264,55,10,1
No symbiont,11,395000,host,0,0,0,NA,NA,NA,NA,NA,NA,974929,195562,2723,274321,1064,281,93,9,3
No symbiont,11,400000,host,0,0,0,NA,NA,NA,NA,NA,NA,981341,182435,6010,296221,1495,262,96,7,1
No symbiont,11,405000,host,0,0,0,NA,NA,NA,NA,NA,NA,974421,186270,4451,328717,1188,242,75,6,2
No symbiont,11,410000,host,0,0,0,NA,NA,NA,NA,NA,NA,999535,177532,2109,362211,2043,216,103,10,2
No symbiont,11,415000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.06018e+06,168446,968,385822,3624,228,127,8,5
No symbiont,11,420000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.06946e+06,161182,1200,421684,3423,256,108,8,1
No symbiont,11,425000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.04459e+06,167420,2418,409402,2809,275,99,5,3
No symbiont,11,430000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.00612e+06,159956,2840,347231,13496,243,106,10,1
No symbiont,11,435000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.01513e+06,152787,2909,362762,43391,215,110,11,1
No symbiont,11,440000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.03366e+06,132616,5431,334126,83855,216,150,9,1
No symbiont,11,445000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.0759e+06,121525,3723,293699,186253,210,147,5,2
No symbiont,11,450000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.11418e+06,93451,536,149112,285999,178,160,4,0
No symbiont,11,455000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.13929e+06,73490,1380,62902,389917,169,178,9,0
No symbiont,11,460000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.14457e+06,75003,1523,37963,573131,241,179,12,0
No symbiont,11,465000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.05515e+06,89489,581,44405,768063,170,270,16,0
No symbiont,11,470000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.03688e+06,95610,617,61422,842000,171,258,18,0
No symbiont,11,475000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.02369e+06,94314,750,98625,775119,183,195,21,0
No symbiont,11,480000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.01426e+06,97520,735,104087,787060,175,212,20,0
No symbiont,11,485000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.00183e+06,88066,446,75067,760137,170,198,18,0
No symbiont,11,490000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.02342e+06,97769,479,79221,742800,160,196,23,0
No symbiont,11,495000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.02456e+06,99486,606,78736,718118,150,194,23,0
No symbiont,11,500000,host,0,0,0,NA,NA,NA,NA,NA,NA,589464,60050,256,30826,416958,88,116,16,1
No symbiont,11,505000,host,0,0,0,NA,NA,NA,NA,NA,NA,60050,2771,6,1247,154185,22,22,1,0
No symbiont,11,510000,host,0,0,0,NA,NA,NA,NA,NA,NA,46065,29,4,21,156459,7,27,0,0
No symbiont,11,515000,host,0,0,0,NA,NA,NA,NA,NA,NA,43799,33,0,32,156392,10,26,0,0
No symbiont,11,520000,host,0,0,0,NA,NA,NA,NA,NA,NA,48053,25,0,30,156106,10,18,0,0
No symbiont,12,0,host,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
No symbiont,12,5000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.99318e+06,0,370,213,398,10,0,0,0
No symbiont,12,10000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.24584e+06,504,212,121,197,16,0,0,0
No symbiont,12,15000,host,0,0,0,NA,NA,NA,NA,NA,NA,972467,860,140,89,128,16,0,0,0
No symbiont,12,20000,host,0,0,0,NA,NA,NA,NA,NA,NA,819449,1179,96,64,117,19,0,0,0
No symbiont,12,25000,host,0,0,0,NA,NA,NA,NA,NA,NA,739987,1506,83,51,102,17,0,0,0
No symbiont,12,30000,host,0,0,0,NA,NA,NA,NA,NA,NA,689760,1268,86,62,88,11,3,0,0
No symbiont,12,35000,host,0,0,0,NA,NA,NA,NA,NA,NA,668272,1589,59,61,78,18,1,0,0
No symbiont,12,40000,host,0,0,0,NA,NA,NA,NA,NA,NA,634936,1760,47,51,91,8,2,0,0
