vert,rep,update,partner,donate_calls,donated,earned,steal_calls,stolen,mutualism,attempts_horiz,success_horiz,attempts_vert,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
0.2,14,220000,symbiont,1039161,2.24152e+06,3.08682e+06,2514579,2.75687e+06,NA,27072,2022,404,505198,52022,399,5365,602,189,37,2,2
0.2,14,225000,host,0,0,0,NA,NA,NA,NA,NA,NA,684719,46384,917,503,562,204,46,6,0
0.2,14,225000,symbiont,1077496,2.3202e+06,3.1214e+06,2557985,2.85987e+06,NA,27249,2004,439,499631,62434,419,5596,578,231,34,2,0
0.2,14,230000,host,0,0,0,NA,NA,NA,NA,NA,NA,666540,49915,1219,427,627,212,47,2,0
0.2,14,230000,symbiont,1097600,2.39739e+06,3.17134e+06,2619727,2.92092e+06,NA,27079,1986,430,503604,71496,441,5095,625,235,34,1,0
0.2,14,235000,host,0,0,0,NA,NA,NA,NA,NA,NA,670802,52725,1251,440,558,219,54,7,0
0.2,14,235000,symbiont,1130520,2.42893e+06,3.14308e+06,2609458,2.97142e+06,NA,26513,1901,422,504681,73359,473,3799,697,252,35,3,0
0.2,14,240000,host,0,0,0,NA,NA,NA,NA,NA,NA,665625,55256,1243,444,566,176,45,3,0
0.2,14,240000,symbiont,1157574,2.60173e+06,3.15678e+06,2569229,3.12899e+06,NA,26769,2022,425,501307,80376,474,3823,650,226,37,1,1
0.2,14,245000,host,0,0,0,NA,NA,NA,NA,NA,NA,663555,54900,1006,416,631,219,48,0,0
0.2,14,245000,symbiont,1169440,2.80002e+06,3.16636e+06,2595998,3.33136e+06,NA,26851,1901,414,505055,80466,484,3449,679,261,36,3,0
0.2,14,250000,host,0,0,0,NA,NA,NA,NA,NA,NA,652028,55699,662,518,615,232,45,0,0
0.2,14,250000,symbiont,1158840,2.8362e+06,3.14738e+06,2662200,3.40536e+06,NA,26932,1880,434,499419,77185,482,4059,684,268,37,4,0
0.2,14,255000,host,0,0,0,NA,NA,NA,NA,NA,NA,632844,56450,433,431,627,239,56,1,0
0.2,14,255000,symbiont,1168803,2.67573e+06,3.0858e+06,2651859,3.20857e+06,NA,26154,1840,404,494891,72876,475,3607,707,261,37,2,0
0.2,14,260000,host,0,0,0,NA,NA,NA,NA,NA,NA,643655,61307,443,498,669,246,57,2,0
0.2,14,260000,symbiont,1214272,2.6953e+06,3.09012e+06,2649230,3.19163e+06,NA,26349,1932,360,497660,74973,480,3044,717,272,41,0,1
0.2,14,265000,host,0,0,0,NA,NA,NA,NA,NA,NA,641982,59498,468,491,687,247,45,3,0
0.2,14,265000,symbiont,1248394,2.72137e+06,3.18172e+06,2682339,3.22687e+06,NA,26984,1913,401,506304,82312,821,3009,713,277,37,2,0
0.2,14,270000,host,0,0,0,NA,NA,NA,NA,NA,NA,645367,57921,476,652,645,262,39,3,0
0.2,14,270000,symbiont,1278488,2.9122e+06,3.24381e+06,2690582,3.47383e+06,NA,28180,1919,420,507383,85379,1135,3703,701,300,38,2,0
0.2,14,275000,host,0,0,0,NA,NA,NA,NA,NA,NA,634008,56499,466,655,672,253,49,3,1
0.2,14,275000,symbiont,1352898,3.00675e+06,3.26008e+06,2767601,3.58717e+06,NA,28723,1819,357,510213,79747,1268,4359,699,278,38,6,0
0.2,14,280000,host,0,0,0,NA,NA,NA,NA,NA,NA,637545,57643,424,590,641,267,33,3,0
0.2,14,280000,symbiont,1374996,3.07513e+06,3.25574e+06,2830941,3.67871e+06,NA,28741,1785,363,505402,75698,1783,4905,691,257,39,4,0
0.2,14,285000,host,0,0,0,NA,NA,NA,NA,NA,NA,633231,56398,470,520,641,252,53,2,0
0.2,14,285000,symbiont,1361626,3.01795e+06,3.27782e+06,2822747,3.64617e+06,NA,28975,1761,359,508288,80387,1792,4331,741,314,31,1,0
0.2,14,290000,host,0,0,0,NA,NA,NA,NA,NA,NA,628049,52139,667,717,630,279,41,2,0
0.2,14,290000,symbiont,1381146,3.0242e+06,3.25257e+06,2827190,3.61037e+06,NA,28745,1762,379,507839,81723,1024,4381,731,268,50,4,0
0.2,14,295000,host,0,0,0,NA,NA,NA,NA,NA,NA,633450,57029,951,1204,684,241,56,4,0
0.2,14,295000,symbiont,1372951,3.08359e+06,3.24564e+06,2807668,3.64908e+06,NA,28398,1764,406,503434,79613,1879,4187,731,288,36,3,0
0.2,14,300000,host,0,0,0,NA,NA,NA,NA,NA,NA,634633,60687,1175,969,703,299,58,2,0
0.2,14,300000,symbiont,1355689,3.12104e+06,3.33466e+06,2839371,3.65328e+06,NA,28860,1822,374,504864,82292,2700,4890,791,298,47,2,1
0.2,14,305000,host,0,0,0,NA,NA,NA,NA,NA,NA,644600,61708,1137,989,706,276,55,5,0
0.2,14,305000,symbiont,1367139,3.26427e+06,3.41937e+06,2863010,3.7926e+06,NA,29491,1909,393,504109,83533,5008,4717,780,274,43,6,0
0.2,14,310000,host,0,0,0,NA,NA,NA,NA,NA,NA,658246,58995,868,1076,705,310,57,4,0
0.2,14,310000,symbiont,1371218,3.24463e+06,3.47393e+06,2896583,3.79993e+06,NA,30334,1893,370,497113,89561,7127,4043,760,320,43,3,0
0.2,14,315000,host,0,0,0,NA,NA,NA,NA,NA,NA,657800,58494,775,980,713,300,60,5,0
0.2,14,315000,symbiont,1392725,3.35167e+06,3.61069e+06,2914869,3.86851e+06,NA,30922,1841,384,498547,88359,10442,4164,739,312,45,4,0
0.2,14,320000,host,0,0,0,NA,NA,NA,NA,NA,NA,654807,57752,541,798,708,297,46,3,0
0.2,14,320000,symbiont,1436274,3.52179e+06,3.76532e+06,2964253,3.98613e+06,NA,31649,1867,380,503541,94020,12584,4564,736,309,44,4,1
0.2,14,325000,host,0,0,0,NA,NA,NA,NA,NA,NA,630251,56932,521,774,721,314,52,1,0
0.2,14,325000,symbiont,1457115,3.54053e+06,3.92926e+06,3059904,4.02363e+06,NA,33510,1846,343,507933,102112,15508,4100,774,306,49,3,0
0.2,14,330000,host,0,0,0,NA,NA,NA,NA,NA,NA,617193,58163,501,1138,711,314,44,0,0
0.2,14,330000,symbiont,1498646,3.61963e+06,4.03224e+06,3126238,4.09145e+06,NA,33985,1717,399,499202,103254,19875,3256,781,291,44,8,2
0.2,14,335000,host,0,0,0,NA,NA,NA,NA,NA,NA,612333,61533,542,2402,818,323,54,2,0
0.2,14,335000,symbiont,1532388,3.88942e+06,4.07899e+06,3145335,4.30362e+06,NA,33510,1820,379,489968,99014,22487,3385,819,337,39,3,0
0.2,14,340000,host,0,0,0,NA,NA,NA,NA,NA,NA,606085,59351,561,2984,803,295,36,4,0
0.2,14,340000,symbiont,1536846,3.87886e+06,3.95388e+06,3181380,4.26867e+06,NA,31984,1776,427,483651,100156,20280,3067,855,301,48,1,2
0.2,14,345000,host,0,0,0,NA,NA,NA,NA,NA,NA,610850,54529,469,3828,755,315,57,2,4
0.2,14,345000,symbiont,1572686,3.85317e+06,4.04076e+06,3193402,4.28043e+06,NA,33402,1904,376,485025,104430,21847,3052,787,354,32,5,1
0.2,14,350000,host,0,0,0,NA,NA,NA,NA,NA,NA,619548,57800,499,4651,716,304,48,5,0
0.2,14,350000,symbiont,1600678,3.8613e+06,4.07441e+06,3148869,4.29586e+06,NA,33780,1900,435,476817,105977,23764,2819,805,323,37,6,0
0.2,14,355000,host,0,0,0,NA,NA,NA,NA,NA,NA,622225,61816,534,4429,756,327,47,2,0
0.2,14,355000,symbiont,1652824,4.07267e+06,4.24622e+06,3118829,4.4891e+06,NA,35096,2044,399,471676,112689,27254,3356,791,329,59,4,1
0.2,14,360000,host,0,0,0,NA,NA,NA,NA,NA,NA,627364,69605,576,5127,849,310,51,0,0
0.2,14,360000,symbiont,1697911,4.39673e+06,4.39868e+06,3136846,4.83343e+06,NA,35932,2005,411,462992,120336,29575,4910,817,364,44,5,1
0.2,14,365000,host,0,0,0,NA,NA,NA,NA,NA,NA,623014,70175,538,5143,733,321,55,2,0
0.2,14,365000,symbiont,1678655,4.45423e+06,4.49248e+06,3168641,4.90582e+06,NA,36713,2071,410,453403,124758,32245,5179,843,352,53,4,0
0.2,14,370000,host,0,0,0,NA,NA,NA,NA,NA,NA,620476,68034,558,5695,718,339,53,1,0
0.2,14,370000,symbiont,1670706,4.51789e+06,4.67948e+06,3182011,4.94141e+06,NA,37963,1973,392,450374,134249,35834,5667,755,341,44,8,1
0.2,14,375000,host,0,0,0,NA,NA,NA,NA,NA,NA,619464,69298,536,5092,784,345,54,1,0
0.2,14,375000,symbiont,1692000,4.62432e+06,4.87939e+06,3259145,5.01755e+06,NA,39859,2047,413,442800,146974,40351,5600,767,323,28,3,1
0.2,14,380000,host,0,0,0,NA,NA,NA,NA,NA,NA,628283,74208,580,4498,774,322,59,2,0
0.2,14,380000,symbiont,1778389,4.55132e+06,4.82409e+06,3357759,4.92041e+06,NA,38969,1931,455,429226,151208,39414,6090,798,366,42,8,2
0.2,14,385000,host,0,0,0,NA,NA,NA,NA,NA,NA,627301,77825,571,4337,796,355,62,5,0
0.2,14,385000,symbiont,1815670,4.55439e+06,4.65536e+06,3454290,4.9444e+06,NA,37304,1965,425,429323,147846,34905,6851,805,344,39,5,1
0.2,14,390000,host,0,0,0,NA,NA,NA,NA,NA,NA,618915,83865,567,4204,746,343,45,3,0
0.2,14,390000,symbiont,1808904,4.87455e+06,4.75001e+06,3508764,5.23578e+06,NA,37653,1934,394,440895,148243,33862,8586,820,392,49,10,0
0.2,14,395000,host,0,0,0,NA,NA,NA,NA,NA,NA,619400,82866,582,4673,725,345,51,2,0
0.2,14,395000,symbiont,1779598,4.83168e+06,4.72141e+06,3444789,5.20654e+06,NA,38076,1918,390,430755,152631,32518,9872,857,394,49,6,0
0.2,14,400000,host,0,0,0,NA,NA,NA,NA,NA,NA,630822,79485,594,4885,745,327,49,6,0
0.2,14,400000,symbiont,1799900,4.68277e+06,4.77136e+06,3427102,5.10486e+06,NA,38902,1962,395,428842,155886,32528,10995,868,371,40,4,2
0.2,14,405000,host,0,0,0,NA,NA,NA,NA,NA,NA,648429,77022,576,6228,761,351,55,1,0
0.2,14,405000,symbiont,1836837,4.71929e+06,4.93298e+06,3395560,5.13946e+06,NA,39357,1921,411,428222,160470,33452,13622,845,383,44,8,0
0.2,14,410000,host,0,0,0,NA,NA,NA,NA,NA,NA,647044,77998,564,8233,747,327,69,3,1
0.2,14,410000,symbiont,1861692,4.79304e+06,4.8546e+06,3380952,5.11739e+06,NA,37373,2072,441,429609,159735,32470,12593,830,385,44,7,0
0.2,14,415000,host,0,0,0,NA,NA,NA,NA,NA,NA,645926,80100,564,12945,707,328,46,4,0
0.2,14,415000,symbiont,1924000,4.90794e+06,5.53154e+06,3307264,5.17511e+06,NA,42504,2294,465,440090,163523,43553,16736,851,337,30,3,5
0.2,14,420000,host,0,0,0,NA,NA,NA,NA,NA,NA,661238,82432,966,15266,848,305,63,4,0
0.2,14,420000,symbiont,1970746,5.1778e+06,5.64704e+06,3248089,5.52537e+06,NA,43668,2329,503,450938,159814,42998,19150,841,397,44,6,1
0.2,14,425000,host,0,0,0,NA,NA,NA,NA,NA,NA,661247,81836,602,23922,786,329,58,3,1
0.2,14,425000,symbiont,1963211,5.27412e+06,5.52456e+06,3148063,5.60179e+06,NA,43724,2487,511,440343,158746,42140,18590,814,345,38,3,2
0.2,14,430000,host,0,0,0,NA,NA,NA,NA,NA,NA,677292,81049,569,33707,870,334,61,7,1
0.2,14,430000,symbiont,1966640,5.43395e+06,5.70111e+06,3062427,5.77989e+06,NA,45955,2800,611,433194,169468,45609,19026,826,364,35,4,3
0.2,14,435000,host,0,0,0,NA,NA,NA,NA,NA,NA,678357,83793,559,50668,896,299,53,3,0
0.2,14,435000,symbiont,1971072,5.13046e+06,5.41818e+06,3011619,5.70423e+06,NA,44767,2935,623,418716,170897,40326,18929,846,325,26,11,1
0.2,14,440000,host,0,0,0,NA,NA,NA,NA,NA,NA,700331,86712,560,71805,899,307,62,0,0
0.2,14,440000,symbiont,1958790,5.08124e+06,5.38248e+06,2979347,5.82675e+06,NA,44878,3390,726,406106,169999,37619,22362,833,337,52,5,0
0.2,14,445000,host,0,0,0,NA,NA,NA,NA,NA,NA,708727,84439,1692,96536,850,304,60,6,2
0.2,14,445000,symbiont,1969027,5.4043e+06,5.67267e+06,3007410,6.2385e+06,NA,46920,4135,876,397368,171918,41750,26234,882,350,46,4,1
0.2,14,450000,host,0,0,0,NA,NA,NA,NA,NA,NA,721353,93299,4486,125962,935,319,63,4,2
0.2,14,450000,symbiont,1971190,5.68059e+06,5.77596e+06,2982413,6.94076e+06,NA,51628,4845,1037,381803,186828,45213,25569,867,316,34,1,4
0.2,14,455000,host,0,0,0,NA,NA,NA,NA,NA,NA,740095,108938,5491,178115,1613,328,75,1,0
0.2,14,455000,symbiont,1970087,6.40177e+06,5.31776e+06,3092474,8.65096e+06,NA,52492,5566,1172,352144,177768,41246,23047,809,335,24,3,2
0.2,14,460000,host,0,0,0,NA,NA,NA,NA,NA,NA,791538,127050,5855,221037,2211,321,81,5,3
0.2,14,460000,symbiont,2006045,7.00811e+06,5.14656e+06,3308105,1.01284e+07,NA,55322,6413,1325,322101,164547,40745,24792,814,288,22,1,0
0.2,14,465000,host,0,0,0,NA,NA,NA,NA,NA,NA,808079,140548,7075,258832,2069,324,93,6,1
0.2,14,465000,symbiont,2245215,7.89811e+06,5.49538e+06,3391407,1.17418e+07,NA,63708,6989,1425,286774,176935,38689,38398,823,284,21,9,0
0.2,14,470000,host,0,0,0,NA,NA,NA,NA,NA,NA,840860,157973,14480,306443,1398,333,116,11,1
0.2,14,470000,symbiont,2414299,8.18929e+06,5.66041e+06,3405135,1.26633e+07,NA,69159,7738,1533,257388,182734,37223,46916,800,312,26,7,0
0.2,14,475000,host,0,0,0,NA,NA,NA,NA,NA,NA,873071,168237,18954,357549,1625,402,112,9,2
0.2,14,475000,symbiont,2446654,8.18835e+06,5.84985e+06,3332856,1.35075e+07,NA,76169,8733,1696,239483,206703,30601,57684,745,259,35,10,0
0.2,14,480000,host,0,0,0,NA,NA,NA,NA,NA,NA,945859,166638,16009,480872,1293,398,163,13,5
0.2,14,480000,symbiont,2530632,9.04437e+06,5.66144e+06,3562267,1.58982e+07,NA,84128,10471,2103,212421,233156,23633,60132,737,250,18,7,0
0.2,14,485000,host,0,0,0,NA,NA,NA,NA,NA,NA,980556,162807,15082,539131,1483,450,193,17,1
0.2,14,485000,symbiont,2639124,1.07056e+07,5.31936e+06,3814623,1.94245e+07,NA,93842,11540,2159,190134,222529,16957,62294,765,264,13,10,0
0.2,14,490000,host,0,0,0,NA,NA,NA,NA,NA,NA,989114,175513,18997,541244,1375,432,185,14,2
0.2,14,490000,symbiont,2681205,1.16325e+07,4.47538e+06,3849854,2.03298e+07,NA,83978,11397,2238,151130,193345,14492,52189,779,231,15,12,2
0.2,14,495000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.02324e+06,185931,18825,551946,1447,492,230,18,1
0.2,14,495000,symbiont,2689284,1.11668e+07,4.01453e+06,4092069,2.06963e+07,NA,85840,11616,2190,142655,166171,19719,39991,729,254,15,6,0
0.2,14,500000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.07683e+06,210059,15563,645577,1590,475,243,17,0
0.2,14,500000,symbiont,2719252,1.26838e+07,3.35052e+06,4463867,2.4299e+07,NA,96750,12084,2347,130448,135575,23731,24835,673,269,11,4,0
0.2,14,505000,host,0,0,0,NA,NA,NA,NA,NA,NA,2.30965e+06,23592,5785,7.85495e+06,1947,1418,1158,2,0
0.2,14,505000,symbiont,3420347,9.01981e+06,8.79009e+06,814880,1.39138e+07,NA,100863,2113,220700,28419,199950,137933,51925,261,362,13,9,3
0.2,14,510000,host,0,0,0,NA,NA,NA,NA,NA,NA,86642,57,45,301226,52,50,43,0,0
0.2,14,510000,symbiont,2471022,132204,85200,98149,151550,NA,882,0,11899,80,3061,64,1679,3,6,0,0,0
0.2,14,515000,host,0,0,0,NA,NA,NA,NA,NA,NA,81349,64,64,301452,52,51,55,0,0
0.2,14,515000,symbiont,2011936,64084.9,104110,90019,70558.6,NA,1022,0,11920,25,2889,3,2232,3,4,0,0,0
0.2,14,520000,host,0,0,0,NA,NA,NA,NA,NA,NA,81897,86,59,300709,61,49,55,0,0
0.2,14,520000,symbiont,1828853,3434.08,130350,41365,1063.26,NA,1257,0,11893,9,3367,2,2821,1,11,0,0,0
0.2,15,0,host,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0.2,15,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,15,5000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.32138e+06,118,399,276,422,22,18,0,0
0.2,15,5000,symbiont,18969,54228.5,3.52821e+06,46692,340088,NA,32538,3584,53,695555,287,279,246,304,18,14,0,0
0.2,15,10000,host,0,0,0,NA,NA,NA,NA,NA,NA,1.09078e+06,328,316,221,300,47,32,0,0
0.2,15,10000,symbiont,33191,54452.3,3.16432e+06,99756,303299,NA,31349,2881,1043,623810,558,256,192,224,35,24,0,0
0.2,15,15000,host,0,0,0,NA,NA,NA,NA,NA,NA,836751,644,180,137,183,37,22,0,0
0.2,15,15000,symbiont,45223,71204,2.57842e+06,155811,289038,NA,24468,3496,716,508961,1066,126,127,142,33,26,0,0
0.2,15,20000,host,0,0,0,NA,NA,NA,NA,NA,NA,762777,428,174,130,186,38,22,0,0
0.2,15,20000,symbiont,65063,86814.5,2.55186e+06,201918,320672,NA,23947,2258,632,503838,742,149,111,158,40,17,0,0
0.2,15,25000,host,0,0,0,NA,NA,NA,NA,NA,NA,684649,877,138,91,152,47,22,0,0
0.2,15,25000,symbiont,77007,114068,2.33194e+06,249815,369884,NA,21605,2563,471,460788,504,102,93,147,40,17,0,0
0.2,15,30000,host,0,0,0,NA,NA,NA,NA,NA,NA,657187,901,114,84,125,43,8,0,0
0.2,15,30000,symbiont,86735,120651,2.3299e+06,310998,409109,NA,21585,1997,509,460657,642,76,89,138,42,15,0,0
0.2,15,35000,host,0,0,0,NA,NA,NA,NA,NA,NA,629705,1347,104,91,106,39,13,0,0
0.2,15,35000,symbiont,100415,168471,2.25502e+06,356918,487345,NA,20929,2123,409,444429,2014,94,98,121,36,16,0,0
0.2,15,40000,host,0,0,0,NA,NA,NA,NA,NA,NA,610734,1415,83,90,126,30,23,0,0
0.2,15,40000,symbiont,112243,177566,2.3146e+06,426716,520006,NA,21641,1850,444,455537,2750,84,115,115,25,25,0,0
0.2,15,45000,host,0,0,0,NA,NA,NA,NA,NA,NA,582681,1901,80,108,115,22,10,0,0
0.2,15,45000,symbiont,120749,199251,2.30524e+06,493095,560610,NA,21430,1919,373,453404,2469,110,105,134,38,22,0,0
0.2,15,50000,host,0,0,0,NA,NA,NA,NA,NA,NA,576703,2602,78,78,112,29,16,0,0
0.2,15,50000,symbiont,128453,275452,2.35364e+06,575935,658953,NA,21718,1722,404,462939,3444,73,86,141,27,12,0,0
0.2,15,55000,host,0,0,0,NA,NA,NA,NA,NA,NA,569267,3383,81,96,115,29,16,0,0
0.2,15,55000,symbiont,144302,308104,2.33067e+06,642674,708788,NA,21485,1747,346,457250,4340,86,102,122,44,12,0,0
0.2,15,60000,host,0,0,0,NA,NA,NA,NA,NA,NA,567582,3655,86,102,126,26,11,0,0
0.2,15,60000,symbiont,163845,351497,2.33836e+06,714223,769019,NA,21608,1615,412,458359,4096,75,117,168,38,12,0,0
0.2,15,65000,host,0,0,0,NA,NA,NA,NA,NA,NA,559105,3379,73,103,121,28,12,0,0
0.2,15,65000,symbiont,173690,359404,2.39334e+06,772896,767189,NA,21694,1735,348,469612,3935,93,131,144,30,17,0,0
0.2,15,70000,host,0,0,0,NA,NA,NA,NA,NA,NA,550918,4151,71,91,132,26,19,0,0
0.2,15,70000,symbiont,190437,306041,2.39488e+06,819730,735539,NA,21599,1608,362,470593,3062,99,126,158,40,11,0,0
0.2,15,75000,host,0,0,0,NA,NA,NA,NA,NA,NA,538779,4189,84,91,132,28,11,0,0
0.2,15,75000,symbiont,206041,345131,2.39066e+06,876543,800480,NA,21669,1631,338,467997,4407,93,145,181,42,8,0,0
0.2,15,80000,host,0,0,0,NA,NA,NA,NA,NA,NA,528645,5379,80,90,140,37,8,0,0
0.2,15,80000,symbiont,223654,370231,2.4213e+06,961048,822285,NA,21838,1490,305,472766,5485,104,149,189,36,12,0,0
0.2,15,85000,host,0,0,0,NA,NA,NA,NA,NA,NA,539947,6585,85,100,139,43,9,0,0
0.2,15,85000,symbiont,238126,462236,2.39854e+06,1037097,923128,NA,21488,1520,310,465871,7221,120,139,228,40,8,0,0
0.2,15,90000,host,0,0,0,NA,NA,NA,NA,NA,NA,550439,6553,92,98,139,40,9,0,0
0.2,15,90000,symbiont,262713,523536,2.42723e+06,1099453,1.02306e+06,NA,21898,1518,315,470851,7395,140,164,207,67,12,0,0
0.2,15,95000,host,0,0,0,NA,NA,NA,NA,NA,NA,559208,7725,96,132,153,49,12,0,0
0.2,15,95000,symbiont,273527,592401,2.49202e+06,1160510,1.13952e+06,NA,22889,1603,316,480435,10000,134,218,236,54,16,0,0
0.2,15,100000,host,0,0,0,NA,NA,NA,NA,NA,NA,565615,8453,119,464,159,48,9,0,0
0.2,15,100000,symbiont,309011,685824,2.52612e+06,1248057,1.2334e+06,NA,23394,1532,328,487678,9545,143,223,227,64,11,2,0
0.2,15,105000,host,0,0,0,NA,NA,NA,NA,NA,NA,572264,6796,114,590,216,43,18,0,0
0.2,15,105000,symbiont,336449,707111,2.51199e+06,1321004,1.27874e+06,NA,23325,1553,336,483502,9544,169,296,246,74,16,0,0
0.2,15,110000,host,0,0,0,NA,NA,NA,NA,NA,NA,565566,8030,119,359,202,56,18,0,1
0.2,15,110000,symbiont,354382,729847,2.55966e+06,1382548,1.28082e+06,NA,23796,1574,347,493161,9323,162,263,281,71,13,0,0
0.2,15,115000,host,0,0,0,NA,NA,NA,NA,NA,NA,568155,7192,138,341,174,57,12,0,0
0.2,15,115000,symbiont,375001,818182,2.5707e+06,1404518,1.35807e+06,NA,24099,1511,299,493247,10822,184,261,273,72,30,1,0
0.2,15,120000,host,0,0,0,NA,NA,NA,NA,NA,NA,580748,7962,129,364,210,51,22,1,0
0.2,15,120000,symbiont,401954,828863,2.56754e+06,1452105,1.39567e+06,NA,24335,1558,313,492725,10863,170,252,293,78,19,0,0
0.2,15,125000,host,0,0,0,NA,NA,NA,NA,NA,NA,582738,7648,163,347,220,56,26,0,0
0.2,15,125000,symbiont,414402,832015,2.55456e+06,1502931,1.35346e+06,NA,23707,1597,367,489763,9812,199,278,321,91,29,0,0
0.2,15,130000,host,0,0,0,NA,NA,NA,NA,NA,NA,588312,9032,159,185,275,60,21,1,0
0.2,15,130000,symbiont,429670,870589,2.66183e+06,1526758,1.40737e+06,NA,24254,1690,359,509243,11867,202,213,358,100,18,1,0
0.2,15,135000,host,0,0,0,NA,NA,NA,NA,NA,NA,599499,10119,177,217,252,69,8,0,0
0.2,15,135000,symbiont,461846,953893,2.71949e+06,1554648,1.49293e+06,NA,24543,1669,364,517863,13811,245,397,293,92,27,2,0
0.2,15,140000,host,0,0,0,NA,NA,NA,NA,NA,NA,609235,10195,169,214,264,70,22,0,0
0.2,15,140000,symbiont,515629,979623,2.72566e+06,1615055,1.53168e+06,NA,24890,1727,341,519389,12624,215,495,311,106,23,1,0
0.2,15,145000,host,0,0,0,NA,NA,NA,NA,NA,NA,610148,10339,200,212,313,86,23,0,0
0.2,15,145000,symbiont,539900,1.0489e+06,2.74068e+06,1697630,1.57894e+06,NA,25139,1722,342,522403,12500,215,437,338,105,27,2,0
0.2,15,150000,host,0,0,0,NA,NA,NA,NA,NA,NA,628689,11558,219,242,278,86,19,1,0
0.2,15,150000,symbiont,541630,1.0983e+06,2.78765e+06,1746698,1.65335e+06,NA,25818,1747,381,528316,15534,226,474,342,129,16,1,0
0.2,15,155000,host,0,0,0,NA,NA,NA,NA,NA,NA,630663,14211,225,224,348,87,20,1,0
0.2,15,155000,symbiont,543022,1.19055e+06,2.77084e+06,1789123,1.74149e+06,NA,25456,1714,384,523485,15866,248,464,372,116,40,1,0
0.2,15,160000,host,0,0,0,NA,NA,NA,NA,NA,NA,634677,15207,208,258,326,109,25,0,0
0.2,15,160000,symbiont,574422,1.3008e+06,2.74522e+06,1827415,1.81579e+06,NA,24995,1794,376,517409,17827,268,284,382,145,28,2,0
0.2,15,165000,host,0,0,0,NA,NA,NA,NA,NA,NA,633402,17515,212,297,346,114,26,0,0
0.2,15,165000,symbiont,615017,1.31783e+06,2.69919e+06,1845756,1.85334e+06,NA,24609,1765,382,510520,16062,245,294,401,112,22,1,0
0.2,15,170000,host,0,0,0,NA,NA,NA,NA,NA,NA,630861,22206,231,293,294,121,26,0,0
0.2,15,170000,symbiont,653596,1.30583e+06,2.72882e+06,1898115,1.85149e+06,NA,24706,1791,395,516597,15120,279,271,409,122,34,2,0
0.2,15,175000,host,0,0,0,NA,NA,NA,NA,NA,NA,633600,23352,228,352,362,117,25,0,0
0.2,15,175000,symbiont,705347,1.25973e+06,2.6783e+06,1927677,1.80242e+06,NA,24464,1801,398,504098,15251,266,529,423,135,30,0,1
0.2,15,180000,host,0,0,0,NA,NA,NA,NA,NA,NA,630649,23698,255,322,361,131,26,1,0
0.2,15,180000,symbiont,728749,1.31716e+06,2.70324e+06,1993463,1.87545e+06,NA,24628,1811,385,503955,15117,251,1170,432,152,27,0,0
0.2,15,185000,host,0,0,0,NA,NA,NA,NA,NA,NA,627392,21667,207,302,360,112,26,0,0
0.2,15,185000,symbiont,759302,1.41286e+06,2.74869e+06,2077912,1.97738e+06,NA,25207,1763,402,512859,17215,296,920,441,140,18,2,0
0.2,15,190000,host,0,0,0,NA,NA,NA,NA,NA,NA,633316,20179,256,320,366,134,30,1,0
0.2,15,190000,symbiont,805795,1.52781e+06,2.7766e+06,2110298,2.07314e+06,NA,25338,1756,365,516523,19230,298,920,425,127,29,2,0
0.2,15,195000,host,0,0,0,NA,NA,NA,NA,NA,NA,657937,20698,261,509,412,145,30,1,0
0.2,15,195000,symbiont,819325,1.56632e+06,2.83514e+06,2125385,2.10921e+06,NA,25744,1795,373,525579,21218,304,913,428,142,41,2,0
0.2,15,200000,host,0,0,0,NA,NA,NA,NA,NA,NA,662107,24987,264,579,436,132,45,5,0
0.2,15,200000,symbiont,827931,1.73595e+06,2.89419e+06,2187145,2.31008e+06,NA,26493,1911,421,533861,25681,334,628,480,171,37,0,0
0.2,15,205000,host,0,0,0,NA,NA,NA,NA,NA,NA,668954,27307,296,444,426,162,31,3,2
0.2,15,205000,symbiont,863474,1.8752e+06,2.92908e+06,2264209,2.5161e+06,NA,27084,1860,390,540370,27781,347,515,434,151,41,1,1
0.2,15,210000,host,0,0,0,NA,NA,NA,NA,NA,NA,674924,29362,326,365,425,159,30,1,0
0.2,15,210000,symbiont,864339,1.98794e+06,2.92983e+06,2317391,2.66367e+06,NA,27196,1811,375,535562,31388,355,538,462,208,35,1,0
0.2,15,215000,host,0,0,0,NA,NA,NA,NA,NA,NA,668222,32812,294,376,469,167,29,3,0
0.2,15,215000,symbiont,855256,1.9816e+06,2.97217e+06,2303274,2.6642e+06,NA,27670,1830,382,543696,31634,363,569,508,150,34,1,0
0.2,15,220000,host,0,0,0,NA,NA,NA,NA,NA,NA,667009,35570,309,354,450,178,34,3,0
0.2,15,220000,symbiont,872632,1.82934e+06,2.99342e+06,2360516,2.53289e+06,NA,27998,1809,369,546761,29627,557,684,521,172,39,1,0
0.2,15,225000,host,0,0,0,NA,NA,NA,NA,NA,NA,665685,38523,312,426,478,163,40,1,0
