partner vertical_transmission update squareNum completions
Host 0.2 40000 268468225 1
Host 0.2 40000 339738624 2
Host 0.2 40000 3600 4
Host 0.2 40000 14641 1
Host 0.2 40000 29584 1
Host 0.2 40000 4290774016 2
Host 0.2 40000 4225 1
Host 0.2 40000 5041 1
Host 0.2 40000 5625 1
Host 0.2 40000 12321 1
Host 0.2 40000 50176 1
Host 0.2 40000 3288334336 1
Host 0.2 40000 4356 4
Host 0.2 40000 4624 4
Host 0.2 40000 4900 1
Host 0.2 40000 5476 1
Host 0.2 40000 5929 1
Host 0.2 40000 6084 1
Host 0.2 40000 6724 5
Host 0.2 40000 7225 1
Host 0.2 40000 7396 2
Host 0.2 40000 8100 2
Host 0.2 40000 9216 5
Host 0.2 40000 10816 1
Host 0.2 40000 11664 1
Host 0.2 40000 16900 2
Host 0.2 40000 97969 1
Host 0.2 40000 147456 10
Host 0.2 40000 37748736 6
Host 0.2 40000 2835349504 1
Host 0.2 40000 5329 1
Host 0.2 40000 13456 2
Host 0.2 40000 14161 1
Host 0.2 40000 15129 1
Host 0.2 40000 18225 1
Host 0.2 40000 47524 1
Host 0.2 40000 51529 1
Host 0.2 40000 53361 1
Host 0.2 40000 103684 1
Host 0.2 40000 129600 1
Host 0.2 40000 131044 9
Host 0.2 40000 280900 1
Host 0.2 40000 524176 2
Host 0.2 40000 4177936 1
Host 0.2 40000 16793604 1
Host 0.2 40000 76527504 1
Host 0.2 40000 136048896 1
Host 0.2 40000 241864704 1
Host 0.2 40000 558755044 1
Host 0.2 40000 603979776 10
Host 0.2 40000 764411904 1
Host 0.2 40000 1056965121 1
Host 0.2 40000 1073872900 2
Host 0.2 40000 1358954496 1
Host 0.2 40000 1677721600 6
Host 0.2 40000 4261478400 10
Host 0.2 40000 4292870400 11
Host 0.2 40000 8281 3
Host 0.2 40000 17842176 1
Host 0.2 40000 4294443024 4
Host 0.2 40000 33489 1
Host 0.2 40000 33856 1
Host 0.2 40000 1413721 1
Host 0.2 40000 268402689 6
Host 0.2 40000 6889 1
Host 0.2 40000 7569 1
Host 0.2 40000 2359296 2
Host 0.2 40000 4190209 3
Host 0.2 40000 84934656 2
Host 0.2 40000 3057647616 1
Host 0.2 40000 1124663296 1
Host 0.2 40000 2170814464 1
Host 0.2 40000 11943936 1
Host 0.2 40000 16908544 1
Host 0.2 40000 36864 3
Host 0.2 40000 261121 2
Host 0.2 40000 589824 1
Host 0.2 40000 9437184 1
Host 0.2 40000 67092481 1
Host 0.2 40000 150994944 2
Host 0.2 40000 25600 1
Host 0.2 40000 37636 1
Host 0.2 40000 65025 1
Host 0.2 40000 66049 2
Host 0.2 40000 16769025 1
Host 0.2 60000 4 785057
Host 0.2 60000 9 23837
Host 0.2 60000 16 41813
Host 0.2 60000 25 3424
Host 0.2 60000 36 2307
Host 0.2 60000 49 1229
Host 0.2 60000 64 15298
Host 0.2 60000 81 687
Host 0.2 60000 100 525
Host 0.2 60000 121 441
Host 0.2 60000 144 535
Host 0.2 60000 169 308
Host 0.2 60000 196 704
Host 0.2 60000 225 248
Host 0.2 60000 256 6137
Host 0.2 60000 289 190
Host 0.2 60000 324 215
Host 0.2 60000 361 140
Host 0.2 60000 400 177
Host 0.2 60000 441 129
Host 0.2 60000 484 170
Host 0.2 60000 529 109
Host 0.2 60000 576 123
Host 0.2 60000 625 103
Host 0.2 60000 676 102
Host 0.2 60000 729 80
Host 0.2 60000 784 89
Host 0.2 60000 841 64
Host 0.2 60000 900 71
Host 0.2 60000 961 62
Host 0.2 60000 1024 4017
Host 0.2 60000 1089 50
Host 0.2 60000 1156 58
Host 0.2 60000 1225 45
Host 0.2 60000 1296 45
Host 0.2 60000 1369 27
Host 0.2 60000 1444 47
Host 0.2 60000 1521 30
Host 0.2 60000 1600 35
Host 0.2 60000 1681 18
Host 0.2 60000 1764 37
Host 0.2 60000 1849 18
Host 0.2 60000 1936 36
Host 0.2 60000 2025 21
Host 0.2 60000 2116 32
Host 0.2 60000 2304 33
Host 0.2 60000 2500 21
Host 0.2 60000 2704 14
Host 0.2 60000 2916 15
Host 0.2 60000 3025 10
Host 0.2 60000 3136 11
Host 0.2 60000 3249 6
Host 0.2 60000 3364 10
Host 0.2 60000 3600 11
Host 0.2 60000 3844 13
Host 0.2 60000 4096 4735
Host 0.2 60000 5184 5
Host 0.2 60000 16384 10600
Host 0.2 60000 57121 1
Host 0.2 60000 65536 4304
Host 0.2 60000 262144 1843
Host 0.2 60000 1048576 1535
Host 0.2 60000 4194304 1368
Host 0.2 60000 16777216 1623
Host 0.2 60000 67108864 1937
Host 0.2 60000 67125249 1
Host 0.2 60000 268435456 15054
Host 0.2 60000 1073741824 360597
Host 0.2 60000 2415919104 22
Host 0.2 60000 4294836225 326
Host 0.2 60000 2209 24
Host 0.2 60000 2401 14
Host 0.2 60000 4356 7
Host 0.2 60000 4624 7
Host 0.2 60000 4900 9
Host 0.2 60000 5476 9
Host 0.2 60000 6400 2
Host 0.2 60000 30976 1
Host 0.2 60000 32761 116
Host 0.2 60000 94633984 1
Host 0.2 60000 150994944 3
Host 0.2 60000 205520896 1
Host 0.2 60000 378535936 1
Host 0.2 60000 603979776 26
Host 0.2 60000 1358954496 1
Host 0.2 60000 1435500544 1
Host 0.2 60000 3288334336 2
Host 0.2 60000 3774873600 1
Host 0.2 60000 4294705156 130
Host 0.2 60000 2601 11
Host 0.2 60000 10000 1
Host 0.2 60000 48400 1
Host 0.2 60000 8386816 1
Host 0.2 60000 1677721600 11
Host 0.2 60000 2147024896 1
Host 0.2 60000 33124 2
Host 0.2 60000 33489 1
Host 0.2 60000 36864 4
Host 0.2 60000 5041 2
Host 0.2 60000 131044 7
Host 0.2 60000 260100 2
Host 0.2 60000 67076100 1
Host 0.2 60000 3481 3
Host 0.2 60000 3969 6
Host 0.2 60000 4225 7
Host 0.2 60000 7396 2
Host 0.2 60000 16129 3
Host 0.2 60000 66049 1
Host 0.2 60000 1040400 3
Host 0.2 60000 3721 5
Host 0.2 60000 49284 1
Host 0.2 60000 1073676289 56
Host 0.2 60000 12544 1
Host 0.2 60000 13456 1
Host 0.2 60000 16900 1
Host 0.2 60000 21904 1
Host 0.2 60000 339738624 1
Host 0.2 60000 5776 3
Host 0.2 60000 6084 3
Host 0.2 60000 9216 2
Host 0.2 60000 9409 1
Host 0.2 60000 50176 1
Host 0.2 60000 142884 1
Host 0.2 60000 200704 1
Host 0.2 60000 244036 1
Host 0.2 60000 589824 3
Host 0.2 60000 6553600 1
Host 0.2 60000 37748736 1
Host 0.2 60000 1056965121 4
Host 0.2 60000 4261478400 1
Host 0.2 60000 4286582784 2
Host 0.2 60000 4292870400 2
Host 0.2 60000 2809 6
