vert,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
0.0,13,170000,host,0,0,0,67496,23627,40666,1411,361,170,54,5,0
0.0,13,170000,symbiont,43930004,2.44065e+06,1.03299e+07,50408,61595,237454,6075,436,243,79,51,14
0.0,13,175000,host,0,0,0,48576,30875,79713,1145,278,119,49,19,0
0.0,13,175000,symbiont,43126316,2.68351e+06,8.85513e+06,43808,49457,208713,483,377,197,56,44,6
0.0,13,180000,host,0,0,0,38213,37509,89942,1251,252,134,47,9,0
0.0,13,180000,symbiont,44092345,3.05993e+06,8.46858e+06,39070,46415,200158,468,325,179,45,46,6
0.0,13,185000,host,0,0,0,32737,40501,114160,1097,278,123,49,18,0
0.0,13,185000,symbiont,43028279,2.30845e+06,7.52018e+06,30705,42541,178062,620,300,144,37,41,3
0.0,13,190000,host,0,0,0,27291,38883,106009,992,264,119,38,20,1
0.0,13,190000,symbiont,44302415,2.40477e+06,7.88594e+06,28183,44125,187318,593,274,157,38,50,7
0.0,13,195000,host,0,0,0,28092,42842,114085,1717,248,119,37,19,4
0.0,13,195000,symbiont,43563729,2.31011e+06,7.52074e+06,28432,38271,178721,667,263,144,36,43,6
0.0,13,200000,host,0,0,0,25458,40084,113064,1116,241,116,19,17,2
0.0,13,200000,symbiont,42478616,1.87779e+06,7.6198e+06,27611,34176,181838,484,254,163,38,39,10
0.0,14,0,host,0,0,0,0,0,0,0,0,0,0,0,0
0.0,14,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
0.0,14,5000,host,0,0,0,2.44908e+06,1151,719,709,702,199,126,0,0
0.0,14,5000,symbiont,15036,4805,153005,9212,449,439,440,428,165,139,0,0
0.0,14,10000,host,0,0,0,2.31155e+06,2917,535,662,568,233,174,0,0
0.0,14,10000,symbiont,609097,138480,806325,138750,1015,345,526,376,178,180,0,0
0.0,14,15000,host,0,0,0,1.9482e+06,4981,381,653,497,213,154,0,0
0.0,14,15000,symbiont,3462696,656197,2.61448e+06,483247,6963,545,886,642,265,210,2,0
0.0,14,20000,host,0,0,0,1.63671e+06,4677,347,652,509,226,170,0,0
0.0,14,20000,symbiont,6228202,1.0893e+06,4.17225e+06,771264,14178,768,1080,1058,439,323,4,0
0.0,14,25000,host,0,0,0,1.53047e+06,5839,436,862,693,306,245,0,0
0.0,14,25000,symbiont,7986559,1.35035e+06,4.60068e+06,835308,16433,1128,1522,1443,672,411,7,2
0.0,14,30000,host,0,0,0,1.35827e+06,7818,548,955,761,362,321,2,0
0.0,14,30000,symbiont,8964654,1.429e+06,4.6842e+06,830410,23239,1259,1762,1777,816,544,4,0
0.0,14,35000,host,0,0,0,1.25013e+06,9976,553,1074,839,422,337,1,0
0.0,14,35000,symbiont,10062984,1.53575e+06,4.7096e+06,829215,26936,1496,1655,1775,918,542,4,0
0.0,14,40000,host,0,0,0,1.18413e+06,11048,681,2053,979,457,382,1,0
0.0,14,40000,symbiont,10747956,1.6122e+06,4.70572e+06,817936,28823,1661,1861,1884,996,616,11,1
0.0,14,45000,host,0,0,0,1.11404e+06,12060,753,2458,1049,557,411,0,0
0.0,14,45000,symbiont,11592219,1.63634e+06,4.74878e+06,817625,37228,1656,1823,1935,1009,605,17,1
0.0,14,50000,host,0,0,0,1.07444e+06,16251,861,2555,1275,636,447,6,0
0.0,14,50000,symbiont,12608481,1.68785e+06,4.88107e+06,822248,39606,1843,3330,2075,1076,686,15,2
0.0,14,55000,host,0,0,0,1.06304e+06,19362,983,2737,1312,720,483,4,0
0.0,14,55000,symbiont,13544915,1.73039e+06,5.0048e+06,835917,43731,1718,3522,2239,1175,753,19,1
0.0,14,60000,host,0,0,0,1.03084e+06,25347,1021,3084,1414,792,512,5,2
0.0,14,60000,symbiont,15091397,1.73429e+06,5.05746e+06,834747,42650,1745,3961,2484,1328,829,27,1
0.0,14,65000,host,0,0,0,990278,24191,1071,2819,1607,843,557,2,0
0.0,14,65000,symbiont,15760748,1.81963e+06,5.08861e+06,838381,41477,1812,4177,2629,1385,779,25,0
0.0,14,70000,host,0,0,0,989238,21300,1298,1933,1867,991,596,9,2
0.0,14,70000,symbiont,16133718,1.90837e+06,5.30797e+06,852466,44696,2027,4039,3905,1485,884,37,3
0.0,14,75000,host,0,0,0,992849,28172,1424,5751,1958,1046,608,17,0
0.0,14,75000,symbiont,17118448,1.79787e+06,5.15738e+06,793519,52798,2272,6185,3745,1613,958,29,3
0.0,14,80000,host,0,0,0,948713,36758,1493,7130,2040,1093,602,13,1
0.0,14,80000,symbiont,17812593,1.91031e+06,5.531e+06,788860,56523,2650,14816,3830,1774,932,38,6
0.0,14,85000,host,0,0,0,933800,41784,1572,7943,2179,1152,680,20,0
0.0,14,85000,symbiont,18632336,1.92112e+06,5.58412e+06,749013,58428,4412,18407,3974,1721,1064,34,9
0.0,14,90000,host,0,0,0,917922,52406,1640,12289,2232,1225,612,20,1
0.0,14,90000,symbiont,19037289,1.92849e+06,5.63533e+06,741081,65881,7470,17625,3457,1794,1058,38,4
0.0,14,95000,host,0,0,0,877184,65384,1668,15049,2382,1285,635,23,1
0.0,14,95000,symbiont,21194808,2.23236e+06,6.84936e+06,740276,110548,30672,17525,3707,2021,1182,81,22
0.0,14,100000,host,0,0,0,730992,64601,1571,16851,2154,1143,506,20,0
0.0,14,100000,symbiont,28577710,4.28297e+06,2.6889e+07,604769,219511,540898,11231,4041,2025,992,227,41
0.0,14,105000,host,0,0,0,166143,17264,333,3428,494,286,119,3,0
0.0,14,105000,symbiont,34703321,1.66556e+06,1.1353e+07,121073,83830,253429,2201,1000,446,180,74,15
0.0,14,110000,host,0,0,0,140799,15811,272,2950,417,269,119,2,0
0.0,14,110000,symbiont,36776091,1.54872e+06,1.15174e+07,96579,71464,263043,1746,823,472,132,76,17
0.0,14,115000,host,0,0,0,115427,11194,214,1114,312,215,108,0,0
0.0,14,115000,symbiont,38903588,1.59562e+06,1.17557e+07,72605,61673,274891,861,682,372,103,77,12
0.0,14,120000,host,0,0,0,87884,9658,169,1963,284,171,88,1,0
0.0,14,120000,symbiont,39487335,1.8762e+06,1.1878e+07,59759,52459,281431,641,585,294,89,69,9
0.0,14,125000,host,0,0,0,65125,7705,146,3071,199,154,65,1,0
0.0,14,125000,symbiont,40225103,1.66114e+06,1.19699e+07,48162,43753,286828,523,505,306,66,45,4
0.0,14,130000,host,0,0,0,57744,7960,132,4199,180,142,52,4,0
0.0,14,130000,symbiont,41612164,1.69347e+06,1.19653e+07,44123,42709,287243,531,506,268,85,57,12
0.0,14,135000,host,0,0,0,55978,7277,156,2751,194,119,60,5,1
0.0,14,135000,symbiont,42791251,1.49466e+06,1.2033e+07,43158,42624,289135,541,501,301,61,58,6
0.0,14,140000,host,0,0,0,54943,6332,142,959,189,121,72,2,0
0.0,14,140000,symbiont,43686753,1.8032e+06,1.2114e+07,42431,44188,290936,562,546,332,80,54,10
0.0,14,145000,host,0,0,0,45709,5200,146,714,173,114,45,2,0
0.0,14,145000,symbiont,45091363,1.51184e+06,1.21826e+07,37966,41441,293832,491,513,314,85,56,11
0.0,14,150000,host,0,0,0,43803,5660,128,490,167,145,41,4,0
0.0,14,150000,symbiont,46113981,1.47015e+06,1.2198e+07,35787,41779,294514,468,513,278,85,63,8
0.0,14,155000,host,0,0,0,48022,6004,152,683,199,138,39,1,0
0.0,14,155000,symbiont,46964681,1.58981e+06,1.21645e+07,37507,45452,292827,513,539,286,104,75,11
0.0,14,160000,host,0,0,0,47615,6693,129,943,189,149,65,3,0
0.0,14,160000,symbiont,48145613,1.72399e+06,1.21485e+07,37284,44915,292830,520,503,297,74,68,8
0.0,14,165000,host,0,0,0,46456,6941,111,376,205,151,57,4,0
0.0,14,165000,symbiont,49136193,1.92888e+06,1.21769e+07,36989,43704,293504,564,484,312,86,78,9
0.0,14,170000,host,0,0,0,46541,6518,131,175,181,128,53,3,0
0.0,14,170000,symbiont,50941927,1.75391e+06,1.21902e+07,36987,41381,294352,567,480,314,59,51,6
0.0,14,175000,host,0,0,0,45371,5863,112,192,187,126,56,1,0
0.0,14,175000,symbiont,51969429,2.24839e+06,1.21989e+07,39786,41439,294218,583,475,300,79,53,4
0.0,14,180000,host,0,0,0,44870,5461,111,188,185,122,37,1,1
0.0,14,180000,symbiont,53043121,2.21439e+06,1.22065e+07,39194,42922,294288,496,501,293,72,66,9
0.0,14,185000,host,0,0,0,44803,4535,131,224,149,131,47,3,1
0.0,14,185000,symbiont,54026893,2.07394e+06,1.22099e+07,36415,41055,295093,473,444,280,83,65,11
0.0,14,190000,host,0,0,0,42209,2792,88,199,147,116,43,3,0
0.0,14,190000,symbiont,55505103,2.09231e+06,1.22372e+07,34929,38720,296714,396,368,250,92,60,14
0.0,14,195000,host,0,0,0,38714,2295,107,128,141,88,36,4,1
0.0,14,195000,symbiont,56412239,2.98519e+06,1.22614e+07,33996,39200,297660,328,320,189,69,49,9
0.0,14,200000,host,0,0,0,35056,2398,95,103,150,73,24,5,0
0.0,14,200000,symbiont,57376434,2.5378e+06,1.22838e+07,35814,38397,297908,339,303,202,114,49,8
0.0,15,0,host,0,0,0,0,0,0,0,0,0,0,0,0
0.0,15,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
0.0,15,5000,host,0,0,0,2.44044e+06,1888,745,642,760,180,117,0,0
0.0,15,5000,symbiont,31153,4535,187980,15962,445,409,473,443,168,138,0,0
0.0,15,10000,host,0,0,0,2.22646e+06,4026,499,928,550,233,158,0,0
0.0,15,10000,symbiont,1070158,167254,1.21704e+06,213177,3701,411,542,503,249,217,0,0
0.0,15,15000,host,0,0,0,1.8133e+06,4579,399,742,489,250,155,0,0
0.0,15,15000,symbiont,4487574,694779,3.28325e+06,596521,14716,785,984,978,405,291,2,0
0.0,15,20000,host,0,0,0,1.58358e+06,5840,360,651,463,218,182,1,0
0.0,15,20000,symbiont,7262917,1.0609e+06,4.43345e+06,792466,17996,1064,2795,1384,662,402,2,0
0.0,15,25000,host,0,0,0,1.46554e+06,8084,450,846,661,365,239,0,0
0.0,15,25000,symbiont,9280845,1.36208e+06,4.79409e+06,841941,25870,1518,1871,1838,943,598,8,1
0.0,15,30000,host,0,0,0,1.33544e+06,8900,491,916,759,379,277,1,0
0.0,15,30000,symbiont,10756625,1.44822e+06,4.76192e+06,815982,30770,1667,2015,2377,1058,641,22,0
0.0,15,35000,host,0,0,0,1.24488e+06,8452,512,1170,781,391,316,1,0
0.0,15,35000,symbiont,12151666,1.53024e+06,4.91468e+06,813810,49909,2337,2545,2372,1174,708,24,0
0.0,15,40000,host,0,0,0,1.15629e+06,12077,571,2159,885,453,372,3,0
0.0,15,40000,symbiont,13650108,1.57818e+06,5.03602e+06,814780,52007,2460,4300,2500,1334,749,30,1
0.0,15,45000,host,0,0,0,1.11804e+06,15630,631,2075,924,504,355,4,1
0.0,15,45000,symbiont,14751848,1.61027e+06,5.03134e+06,790454,60607,3883,3826,2856,1432,744,27,4
0.0,15,50000,host,0,0,0,1.05717e+06,18051,706,1858,1098,533,448,3,0
0.0,15,50000,symbiont,15791331,1.69662e+06,4.93774e+06,777663,56126,3131,3855,2894,1453,857,26,1
0.0,15,55000,host,0,0,0,1.04774e+06,21095,828,1442,1193,626,448,2,0
0.0,15,55000,symbiont,16630274,1.79727e+06,5.08996e+06,795388,56515,3961,3816,2998,1780,828,25,2
0.0,15,60000,host,0,0,0,1.05619e+06,22171,981,1953,1372,700,474,6,0
0.0,15,60000,symbiont,17121438,1.84235e+06,5.08792e+06,798933,49756,3707,3639,3253,1702,934,26,2
0.0,15,65000,host,0,0,0,1.04175e+06,28380,1087,1988,1449,849,527,10,0
0.0,15,65000,symbiont,18328240,1.81477e+06,4.9309e+06,770628,51529,3474,3237,3260,1796,893,25,1
0.0,15,70000,host,0,0,0,1.03148e+06,32079,1164,5016,1655,832,607,7,0
0.0,15,70000,symbiont,19253384,1.77648e+06,5.01252e+06,761935,56586,5465,3103,3402,1793,987,23,0
0.0,15,75000,host,0,0,0,1.01337e+06,36659,1242,6016,1776,940,595,2,0
0.0,15,75000,symbiont,20690401,1.83037e+06,5.28244e+06,772306,52991,10202,3379,3496,1983,1056,32,1
0.0,15,80000,host,0,0,0,992427,47568,1273,4759,1974,1007,635,13,0
0.0,15,80000,symbiont,22735039,2.07469e+06,6.03481e+06,748837,61605,29271,3902,3720,2164,1114,32,5
0.0,15,85000,host,0,0,0,966178,44863,1441,4349,2260,1138,630,13,1
0.0,15,85000,symbiont,26799826,2.47483e+06,7.62838e+06,770403,78505,58838,8656,3983,2224,1130,34,4
0.0,15,90000,host,0,0,0,912296,46630,1492,5969,2148,1205,621,11,3
0.0,15,90000,symbiont,34043766,4.87027e+06,1.35627e+07,769325,120467,130610,76548,5295,2492,1208,62,4
0.0,15,95000,host,0,0,0,637000,33396,1152,3491,1703,926,454,9,2
0.0,15,95000,symbiont,42068520,6.44552e+06,1.71357e+07,591685,122907,255320,68755,3751,1979,880,83,8
0.0,15,100000,host,0,0,0,353242,12827,558,1595,757,467,234,4,0
0.0,15,100000,symbiont,43464042,4.36938e+06,1.04493e+07,326024,74078,159780,45445,1565,997,381,44,12
0.0,15,105000,host,0,0,0,367651,10910,553,1370,938,540,215,2,0
0.0,15,105000,symbiont,43882908,4.6186e+06,1.03797e+07,327707,84764,175559,25898,1736,1085,388,48,11
0.0,15,110000,host,0,0,0,332334,10368,529,1567,834,438,228,8,0
0.0,15,110000,symbiont,44861338,5.35054e+06,1.05648e+07,309614,90598,189968,18223,1606,1057,335,43,12
0.0,15,115000,host,0,0,0,261995,15837,494,1393,815,466,202,3,2
0.0,15,115000,symbiont,45651770,5.48194e+06,1.09014e+07,265836,84220,210395,12877,1566,957,315,44,20
0.0,15,120000,host,0,0,0,205927,14463,488,1049,688,381,161,6,0
0.0,15,120000,symbiont,47777888,4.56107e+06,1.12261e+07,220378,77427,226347,12460,1476,813,251,51,11
0.0,15,125000,host,0,0,0,144045,9723,334,554,476,340,127,2,0
0.0,15,125000,symbiont,48815091,3.10031e+06,1.1611e+07,152900,70311,246370,12944,1063,677,197,49,15
0.0,15,130000,host,0,0,0,102340,7494,237,373,362,244,94,2,0
0.0,15,130000,symbiont,47839184,2.79451e+06,1.18639e+07,109520,60386,264620,9014,715,502,138,69,6
0.0,15,135000,host,0,0,0,76303,5465,225,315,348,198,63,1,1
0.0,15,135000,symbiont,47295439,4.03589e+06,1.20174e+07,93613,61573,272414,7528,678,377,111,55,8
0.0,15,140000,host,0,0,0,59929,3215,173,256,267,192,48,2,0
0.0,15,140000,symbiont,48029766,3.45298e+06,1.21246e+07,80382,53294,280203,5483,518,315,112,45,10
0.0,15,145000,host,0,0,0,49891,2580,155,235,212,140,37,2,0
0.0,15,145000,symbiont,47856288,2.60388e+06,1.2189e+07,66584,53603,286640,2567,412,296,85,71,11
0.0,15,150000,host,0,0,0,49804,2789,187,243,248,183,39,3,0
0.0,15,150000,symbiont,47670101,2.65808e+06,1.21798e+07,74385,59232,282685,4328,503,321,133,58,7
0.0,15,155000,host,0,0,0,58368,3322,182,261,274,173,57,0,2
0.0,15,155000,symbiont,48222876,3.02778e+06,1.21298e+07,90142,64220,275267,7578,567,380,142,46,9
0.0,15,160000,host,0,0,0,59356,4508,193,289,294,212,45,5,0
0.0,15,160000,symbiont,50141661,3.58919e+06,1.21147e+07,84934,60932,275258,8085,624,382,135,55,17
0.0,15,165000,host,0,0,0,40265,3830,154,208,218,156,43,0,1
0.0,15,165000,symbiont,52231407,3.08167e+06,1.22283e+07,57218,51359,288810,2949,484,284,94,65,10
0.0,15,170000,host,0,0,0,40891,4036,159,227,278,205,41,4,0
0.0,15,170000,symbiont,54275345,4.57117e+06,1.2215e+07,63988,59638,286684,2757,467,321,97,50,7
0.0,15,175000,host,0,0,0,47729,4712,248,300,345,268,56,6,0
0.0,15,175000,symbiont,55299707,3.9257e+06,1.21577e+07,77166,80316,277302,5821,648,382,126,69,13
0.0,15,180000,host,0,0,0,48512,4983,224,271,297,230,51,1,0
0.0,15,180000,symbiont,55394642,3.85922e+06,1.21635e+07,68730,77678,277779,7265,558,351,109,63,10
0.0,15,185000,host,0,0,0,50980,4896,245,235,329,269,49,3,0
0.0,15,185000,symbiont,55631929,3.54117e+06,1.21471e+07,59483,83203,282756,2422,568,353,83,55,5
0.0,15,190000,host,0,0,0,45032,5030,253,240,317,233,55,3,0
0.0,15,190000,symbiont,57390429,3.96876e+06,1.21776e+07,52132,80564,283779,3347,571,314,91,77,12
0.0,15,195000,host,0,0,0,39593,3882,191,212,279,196,39,4,0
0.0,15,195000,symbiont,60228558,4.12107e+06,1.22222e+07,47194,73190,280063,10084,520,283,82,65,6
0.0,15,200000,host,0,0,0,37844,2691,208,203,239,234,35,4,0
0.0,15,200000,symbiont,63342695,3.47741e+06,1.22377e+07,44011,75299,279838,10810,536,329,77,42,10
0.0,16,0,host,0,0,0,0,0,0,0,0,0,0,0,0
0.0,16,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
0.0,16,5000,host,0,0,0,2.46786e+06,1943,689,674,797,200,139,0,0
0.0,16,5000,symbiont,28719,9260,209475,18444,504,441,439,469,168,182,0,0
0.0,16,10000,host,0,0,0,2.26269e+06,3393,554,684,536,231,157,0,0
0.0,16,10000,symbiont,1037570,189302,1.09971e+06,193363,3586,394,435,425,213,192,2,0
0.0,16,15000,host,0,0,0,1.85493e+06,3776,422,638,493,234,161,0,0
0.0,16,15000,symbiont,4510243,770582,3.10191e+06,569599,9308,658,918,907,359,274,2,0
0.0,16,20000,host,0,0,0,1.64892e+06,7396,388,671,496,258,218,2,0
0.0,16,20000,symbiont,7087491,1.155e+06,4.0955e+06,747123,14261,961,1229,1315,505,348,3,0
0.0,16,25000,host,0,0,0,1.49252e+06,8046,480,842,685,347,306,1,0
0.0,16,25000,symbiont,8576025,1.40852e+06,4.67445e+06,823186,21671,1954,2558,1657,760,476,3,0
0.0,16,30000,host,0,0,0,1.36894e+06,10405,560,1001,811,426,346,0,0
0.0,16,30000,symbiont,10080761,1.50673e+06,4.80514e+06,818206,31311,4346,1791,1840,917,564,6,1
0.0,16,35000,host,0,0,0,1.28532e+06,16318,644,1061,858,435,354,2,0
0.0,16,35000,symbiont,11042532,1.52953e+06,4.75306e+06,798865,35483,4465,2022,1987,998,503,12,2
0.0,16,40000,host,0,0,0,1.24396e+06,18663,741,1224,1093,579,433,3,1
0.0,16,40000,symbiont,11828573,1.54898e+06,4.86714e+06,804146,30771,5565,2869,2090,1126,600,8,2
0.0,16,45000,host,0,0,0,1.1937e+06,17117,835,1581,1215,642,456,0,1
0.0,16,45000,symbiont,12872623,1.70362e+06,4.93574e+06,799822,34806,6993,2966,2147,1114,628,12,3
0.0,16,50000,host,0,0,0,1.15901e+06,20542,938,2610,1231,679,459,3,0
0.0,16,50000,symbiont,13812021,1.70716e+06,4.98932e+06,794239,42064,7184,2807,2450,1214,703,14,1
0.0,16,55000,host,0,0,0,1.11082e+06,21487,913,3187,1306,741,501,9,0
0.0,16,55000,symbiont,14927178,1.76029e+06,5.00288e+06,793477,42099,2710,7107,2457,1409,749,12,4
0.0,16,60000,host,0,0,0,1.03982e+06,24666,957,2912,1387,809,519,5,0
0.0,16,60000,symbiont,15602084,1.7038e+06,4.81329e+06,769689,45753,2072,5176,2627,1382,753,27,2
0.0,16,65000,host,0,0,0,1.01035e+06,27959,1029,2587,1575,730,510,10,2
0.0,16,65000,symbiont,16279558,1.87957e+06,4.8862e+06,761620,52195,2157,6827,2692,1408,794,15,1
0.0,16,70000,host,0,0,0,980647,33042,1224,1813,1777,898,563,5,0
0.0,16,70000,symbiont,16956233,1.91329e+06,4.91822e+06,751197,55078,2852,6905,2969,1590,799,21,2
0.0,16,75000,host,0,0,0,957043,44606,1501,1930,2084,976,589,14,1
0.0,16,75000,symbiont,17840982,2.09932e+06,5.1568e+06,778614,57298,4892,6433,3088,1643,871,34,3
0.0,16,80000,host,0,0,0,945797,48811,2668,2445,2524,1011,604,20,0
0.0,16,80000,symbiont,18846355,1.94523e+06,5.16434e+06,785041,60074,5038,4381,3229,1860,920,42,3
0.0,16,85000,host,0,0,0,928370,52383,3211,3340,2872,1179,651,8,0
0.0,16,85000,symbiont,19787759,1.93657e+06,5.2204e+06,787430,64186,4629,3867,3585,1988,1071,31,1
0.0,16,90000,host,0,0,0,932160,52436,3705,3576,3004,1221,716,9,2
0.0,16,90000,symbiont,20480146,1.92751e+06,5.04618e+06,757138,63810,4247,3999,3572,1969,1001,45,3
0.0,16,95000,host,0,0,0,939812,48913,3625,3457,2686,1332,731,16,4
0.0,16,95000,symbiont,21480091,2.01992e+06,5.09683e+06,743395,71067,3840,5481,3806,2174,1017,64,1
0.0,16,100000,host,0,0,0,934876,47195,2822,2961,2789,1402,796,22,2
0.0,16,100000,symbiont,21820838,2.12266e+06,5.30021e+06,761094,76300,3002,7915,3891,2154,1143,53,5
0.0,16,105000,host,0,0,0,914000,46330,2588,2550,2835,1495,792,19,2
0.0,16,105000,symbiont,23881329,2.53507e+06,7.85776e+06,792229,74427,3177,66659,4334,2338,1168,59,3
0.0,16,110000,host,0,0,0,587467,32088,1492,2363,2033,1032,515,5,2
0.0,16,110000,symbiont,34976678,5.48233e+06,3.1343e+07,629649,97639,3848,657037,11877,2021,1064,62,8
0.0,16,115000,host,0,0,0,116998,4650,241,294,321,210,95,0,0
0.0,16,115000,symbiont,39818685,1.66617e+06,1.18163e+07,132835,31099,1862,243773,14569,426,230,27,4
0.0,16,120000,host,0,0,0,126619,5410,255,622,379,271,105,4,2
0.0,16,120000,symbiont,42040368,1.35628e+06,1.17378e+07,137737,37612,7632,245472,9340,417,249,38,9
0.0,16,125000,host,0,0,0,122400,4911,287,633,359,268,105,2,0
0.0,16,125000,symbiont,44581958,1.47039e+06,1.17628e+07,139979,35511,18001,238048,8160,431,246,27,15
0.0,16,130000,host,0,0,0,108376,3650,230,766,351,267,104,1,0
0.0,16,130000,symbiont,46952016,1.58499e+06,1.18378e+07,123727,34709,24659,240789,5422,372,234,31,7
0.0,16,135000,host,0,0,0,91623,3786,200,661,257,193,86,2,0
0.0,16,135000,symbiont,49109626,867244,1.19414e+07,109322,35363,31260,239549,4893,342,191,25,8
0.0,16,140000,host,0,0,0,88786,4075,176,369,252,163,80,3,0
0.0,16,140000,symbiont,50177819,660523,1.19692e+07,103761,36603,30510,241168,5040,369,185,34,10
0.0,16,145000,host,0,0,0,83341,3783,158,263,256,166,77,3,0
0.0,16,145000,symbiont,51314671,1.43864e+06,1.2003e+07,97163,39737,49610,224427,4546,326,174,30,10
0.0,16,150000,host,0,0,0,81551,5041,186,326,253,193,74,4,0
0.0,16,150000,symbiont,52545709,913342,1.20011e+07,96569,40753,44800,237346,497,317,156,34,10
0.0,16,155000,host,0,0,0,83770,6528,190,332,265,194,82,2,0
0.0,16,155000,symbiont,53252929,912273,1.19802e+07,99660,43692,25650,255061,554,310,172,29,7
0.0,16,160000,host,0,0,0,87546,5567,206,414,274,192,84,1,0
0.0,16,160000,symbiont,53326078,1.50419e+06,1.19621e+07,100024,44531,26340,253850,542,312,187,33,5
0.0,16,165000,host,0,0,0,81516,4894,178,421,294,182,62,6,0
0.0,16,165000,symbiont,53247843,2.38279e+06,1.19984e+07,99915,42619,33455,247763,622,330,172,32,5
0.0,16,170000,host,0,0,0,69659,5610,190,341,228,158,63,2,0
0.0,16,170000,symbiont,53424128,3.02614e+06,1.20644e+07,85173,45270,41850,242909,479,307,141,36,13
0.0,16,175000,host,0,0,0,51861,4919,155,220,230,162,49,2,0
0.0,16,175000,symbiont,52463642,3.73889e+06,1.21634e+07,74714,42591,44236,244950,456,278,143,51,0
0.0,16,180000,host,0,0,0,44636,4434,146,219,228,154,33,3,1
0.0,16,180000,symbiont,51633566,3.32356e+06,1.22054e+07,71438,45773,33435,256808,472,272,151,41,1
0.0,16,185000,host,0,0,0,42024,4353,151,205,230,143,35,2,0
0.0,16,185000,symbiont,50863724,2.8431e+06,1.22205e+07,75767,45765,24991,265165,454,270,137,51,0
0.0,16,190000,host,0,0,0,42716,4223,164,228,219,159,40,1,0
0.0,16,190000,symbiont,49753506,2.85898e+06,1.22155e+07,77416,44662,23206,266600,445,307,149,38,7
0.0,16,195000,host,0,0,0,37921,3446,161,166,213,147,22,2,1
0.0,16,195000,symbiont,49294907,2.81431e+06,1.22496e+07,69539,45255,18609,273230,414,272,123,32,4
0.0,16,200000,host,0,0,0,38227,3324,165,230,252,160,31,3,0
0.0,16,200000,symbiont,49005931,2.7707e+06,1.22405e+07,70261,45515,25976,265435,435,267,125,30,6
0.0,17,0,host,0,0,0,0,0,0,0,0,0,0,0,0
0.0,17,0,symbiont,0,0,0,0,0,0,0,0,0,0,0,0
0.0,17,5000,host,0,0,0,2.44949e+06,1477,716,681,763,168,132,0,0
0.0,17,5000,symbiont,13440,3210,155535,9461,431,441,425,456,149,145,0,0
0.0,17,10000,host,0,0,0,2.30595e+06,4112,541,626,561,225,173,0,0
0.0,17,10000,symbiont,600082,131068,838800,142461,2320,385,486,431,202,186,0,0
0.0,17,15000,host,0,0,0,1.86982e+06,5063,387,615,421,211,183,0,0
0.0,17,15000,symbiont,3985172,744740,3.01888e+06,542300,15553,744,1119,949,380,305,5,0
0.0,17,20000,host,0,0,0,1.60204e+06,5963,371,690,494,223,189,0,0
0.0,17,20000,symbiont,7478717,1.25544e+06,4.35156e+06,780519,20638,1117,1529,1548,680,386,5,0
0.0,17,25000,host,0,0,0,1.44466e+06,7350,466,844,628,312,237,0,0
0.0,17,25000,symbiont,9432381,1.55908e+06,4.98304e+06,876759,20439,1485,2426,2005,1015,611,10,0
0.0,17,30000,host,0,0,0,1.29461e+06,10015,473,951,731,361,311,1,0
0.0,17,30000,symbiont,10838585,1.65954e+06,5.17212e+06,882582,29819,1715,3668,2311,1186,695,22,1
0.0,17,35000,host,0,0,0,1.2322e+06,11545,533,1160,818,404,358,1,0
0.0,17,35000,symbiont,11665661,1.70453e+06,5.17396e+06,871168,31560,1928,4134,2464,1297,711,18,1
0.0,17,40000,host,0,0,0,1.15331e+06,15817,602,1137,960,459,408,3,0
0.0,17,40000,symbiont,12652481,1.79533e+06,5.92441e+06,880029,33165,2098,20995,2527,1435,717,19,0
0.0,17,45000,host,0,0,0,973036,18749,552,1078,851,462,342,1,0
0.0,17,45000,symbiont,15004179,2.22378e+06,9.45453e+06,767536,51781,2437,119290,3384,1267,742,17,1
0.0,17,50000,host,0,0,0,464282,9816,288,444,424,235,150,2,0
0.0,17,50000,symbiont,18427478,1.93567e+06,1.00287e+07,374392,40825,831,187953,4259,556,299,10,3
0.0,17,55000,host,0,0,0,324129,7125,212,339,309,218,120,2,0
0.0,17,55000,symbiont,20816614,2.1044e+06,1.07625e+07,259169,37061,697,222666,3864,473,261,18,8
0.0,17,60000,host,0,0,0,259830,6350,233,309,324,196,132,1,0
0.0,17,60000,symbiont,22487391,2.8061e+06,1.10867e+07,211342,33197,685,238044,3693,437,231,20,13
0.0,17,65000,host,0,0,0,225437,4458,180,308,316,169,124,0,0
0.0,17,65000,symbiont,24240035,3.06881e+06,1.12753e+07,206020,37920,684,243384,3409,399,272,32,7
0.0,17,70000,host,0,0,0,193264,4034,204,236,267,161,97,0,0
0.0,17,70000,symbiont,26258777,1.82858e+06,1.14487e+07,193168,39060,498,249506,3269,449,257,26,15
0.0,17,75000,host,0,0,0,168752,3815,169,237,209,140,96,1,0
0.0,17,75000,symbiont,28193304,1.42843e+06,1.15813e+07,162100,36565,410,257528,3140,432,224,33,12
0.0,17,80000,host,0,0,0,165143,4159,142,217,216,117,80,0,0
