vert,rep,update,partner,donate_calls,donated,earned,task_NOT,task_NAND,task_AND,task_ORN,task_OR,task_ANDN,task_NOR,task_XOR,task_EQU
No symbiont,11,90000,host,0,0,0,1.08884e+06,44090,1145,4709,1808,861,643,9,0
No symbiont,11,95000,host,0,0,0,1.07627e+06,51679,1274,5022,1969,1060,642,20,1
No symbiont,11,100000,host,0,0,0,1.05338e+06,57543,1369,3132,2013,1060,651,18,0
No symbiont,11,105000,host,0,0,0,1.03807e+06,61349,1548,4607,2300,1175,690,20,0
No symbiont,11,110000,host,0,0,0,1.03169e+06,63214,1523,4187,3049,1244,827,20,1
No symbiont,11,115000,host,0,0,0,1.01102e+06,66523,3395,3977,3118,1284,766,28,0
No symbiont,11,120000,host,0,0,0,1.00925e+06,69601,1861,3430,3290,1396,786,31,2
No symbiont,11,125000,host,0,0,0,1.05022e+06,75152,1854,4427,3094,1426,843,20,3
No symbiont,11,130000,host,0,0,0,1.05546e+06,74779,2721,6651,3142,1482,843,40,4
No symbiont,11,135000,host,0,0,0,1.05599e+06,82892,5355,5563,3251,1631,870,24,1
No symbiont,11,140000,host,0,0,0,1.01629e+06,101163,14697,5896,3184,1641,913,37,7
No symbiont,11,145000,host,0,0,0,945944,162859,42367,13803,3234,1787,822,73,27
No symbiont,11,150000,host,0,0,0,841036,299818,90105,116194,4913,1645,653,123,31
No symbiont,11,155000,host,0,0,0,759955,386764,116231,269121,6323,1733,562,148,50
No symbiont,11,160000,host,0,0,0,780718,302266,90044,672200,16367,1686,591,112,33
No symbiont,11,165000,host,0,0,0,797182,181294,39591,2.90526e+06,22652,1379,2457,64,16
No symbiont,11,170000,host,0,0,0,18166,4596,49,311900,61,58,19,2,0
No symbiont,11,175000,host,0,0,0,22626,5460,66,311160,93,50,16,5,1
No symbiont,11,180000,host,0,0,0,23925,3851,76,311194,114,50,15,7,0
No symbiont,11,185000,host,0,0,0,38185,6158,282,308388,182,89,38,4,0
No symbiont,11,190000,host,0,0,0,33400,3770,128,263605,23188,74,19,2,0
No symbiont,11,195000,host,0,0,0,30528,4171,448,229663,40123,69,19,2,1
No symbiont,11,200000,host,0,0,0,29373,6052,313,229761,40129,56,12,7,1
No symbiont,12,0,host,0,0,0,0,0,0,0,0,0,0,0,0
No symbiont,12,5000,host,0,0,0,2.48411e+06,1439,735,660,730,144,106,0,0
No symbiont,12,10000,host,0,0,0,2.47173e+06,2601,546,731,645,216,183,0,0
No symbiont,12,15000,host,0,0,0,2.17389e+06,4985,528,872,580,277,233,1,0
No symbiont,12,20000,host,0,0,0,1.79878e+06,8291,332,789,529,234,234,2,0
No symbiont,12,25000,host,0,0,0,1.60326e+06,8976,346,804,564,264,229,1,0
No symbiont,12,30000,host,0,0,0,1.47777e+06,8816,412,895,589,290,272,0,0
No symbiont,12,35000,host,0,0,0,1.40141e+06,11763,432,1001,697,411,314,1,0
No symbiont,12,40000,host,0,0,0,1.35318e+06,18843,558,1051,819,441,356,4,0
No symbiont,12,45000,host,0,0,0,1.32331e+06,20699,588,1187,869,480,416,4,0
No symbiont,12,50000,host,0,0,0,1.28288e+06,19244,644,1888,990,465,412,5,0
No symbiont,12,55000,host,0,0,0,1.24493e+06,19608,647,1995,1044,565,446,4,0
No symbiont,12,60000,host,0,0,0,1.22852e+06,21594,834,2042,1208,628,569,3,3
No symbiont,12,65000,host,0,0,0,1.19442e+06,22595,820,2204,1352,719,533,4,3
No symbiont,12,70000,host,0,0,0,1.159e+06,26455,1455,2244,1434,750,566,12,2
No symbiont,12,75000,host,0,0,0,1.1189e+06,26673,1763,2114,1543,842,571,7,1
No symbiont,12,80000,host,0,0,0,1.12869e+06,27218,1938,1986,1657,874,676,11,0
No symbiont,12,85000,host,0,0,0,1.10886e+06,28219,1887,2115,1765,972,634,7,0
No symbiont,12,90000,host,0,0,0,1.09465e+06,39712,1979,2264,1886,1031,693,13,0
No symbiont,12,95000,host,0,0,0,1.095e+06,46356,1887,2583,1982,1177,759,19,2
No symbiont,12,100000,host,0,0,0,1.09049e+06,40901,1483,2513,2159,1158,753,14,0
No symbiont,12,105000,host,0,0,0,1.06621e+06,45874,1744,2690,2069,1186,782,13,2
No symbiont,12,110000,host,0,0,0,1.02458e+06,54856,2053,3402,2224,1286,768,16,4
